Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},all%
62,8512.351001248453030711971223354340,8275.569296442699851468205451965332,0.972183747501597861351285700948,4,MRK{3%}VZ{1%}AMGN{13%}GS{1%}Cash{82%},100
63,8542.953839801635695039294660091400,8355.751907773377752164378762245178,0.978086978398960305014497862430,3,MRK{2%}VZ{2%}AMGN{13%}Cash{83%},100
64,8628.630212822399698779918253421783,8373.187364953902942943386733531952,0.970395898124258304839884203830,3,MRK{2%}VZ{3%}AMGN{12%}Cash{83%},100
65,8749.059806090297570335678756237030,8443.441177865619465592317283153534,0.965068403348673609087882141466,4,MRK{2%}VZ{1%}AMGN{14%}GS{1%}Cash{82%},100
66,8838.142080006726246210746467113495,8460.876635046135561424307525157928,0.957313942054176192364423059189,4,MRK{2%}VZ{2%}AMGN{13%}GS{1%}Cash{82%},100
67,8888.680343039304716512560844421387,8697.110845849794714013114571571350,0.978447925924175287981654491887,3,MRK{3%}VZ{2%}AMGN{13%}Cash{82%},100
68,8928.167146733023400884121656417847,8714.546303030321723781526088714600,0.976073382118426202680439018877,3,MRK{3%}VZ{3%}AMGN{12%}Cash{82%},100
69,9013.419593972947041038423776626587,8784.800115942005504621192812919617,0.974635655685683000015728794097,4,MRK{3%}VZ{1%}AMGN{14%}GS{1%}Cash{81%},100
70,9057.636117193096652044914662837982,8802.235573122528876410797238349915,0.971802737406753491811173262249,4,MRK{3%}VZ{2%}AMGN{13%}GS{1%}Cash{81%},100
71,9080.089150263709598220884799957275,8864.982727272716147126629948616028,0.976310097904187879080950551725,3,MRK{2%}VZ{2%}AMGN{14%}Cash{82%},100
72,9149.369760143143139430321753025055,8882.418184453248613863252103328705,0.970822954729319231859108185745,3,MRK{2%}VZ{3%}AMGN{13%}Cash{82%},100
73,9278.360149060355979599989950656891,8952.671997364963317522779107093811,0.964898091207595953733289206866,4,MRK{2%}VZ{1%}AMGN{15%}GS{1%}Cash{81%},100
74,9351.279269808170283795334398746490,8970.107454545444852556101977825165,0.959238537929950507709975227044,4,MRK{2%}VZ{2%}AMGN{14%}GS{1%}Cash{81%},100
75,9400.313255523689804249443113803864,9206.341665349140384932979941368103,0.979365412098307408506059346109,3,MRK{3%}VZ{2%}AMGN{14%}Cash{81%},100
76,9426.620213612190127605572342872620,9223.777122529634652892127633094788,0.978481885714495347450281315105,3,MRK{3%}VZ{3%}AMGN{13%}Cash{81%},100
77,9522.339247035202788538299500942230,9294.030935441369365435093641281128,0.976023925878830911351258237119,4,MRK{3%}VZ{1%}AMGN{15%}GS{1%}Cash{80%},100
