Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
44,37265.10993,28992.76482,0.778014,9,MSFT{9.467456%} JPM{9.467456%} MRK{17.751479%} VZ{9.467456%} IBM{18.343195%} BA{2.071006%} MMM{5.325444%} TRV{18.639053%} WBA{9.467456%} ,
45,37523.78173,29051.58577,0.774218,9,MSFT{11.049724%} JPM{8.839779%} MRK{16.574586%} VZ{8.839779%} IBM{17.127072%} BA{1.933702%} MMM{9.392265%} TRV{17.403315%} WBA{8.839779%} ,
46,37536.32282,29126.79391,0.775963,9,MSFT{8.988764%} JPM{8.988764%} MRK{16.853933%} VZ{10.112360%} IBM{17.415730%} BA{1.966292%} MMM{8.988764%} TRV{17.696629%} WBA{8.988764%} ,
47,37540.04211,29143.95896,0.776343,13,MSFT{13.031550%} UNH{0.137174%} JPM{7.956104%} CVX{0.137174%} MRK{17.146776%} MCD{0.274348%} DIS{0.137174%} VZ{11.385460%} IBM{10.425240%} BA{4.389575%} MMM{8.779150%} TRV{17.421125%} WBA{8.779150%} ,
48,37566.22467,29190.2072,0.777033,14,AAPL{0.149477%} MSFT{7.922272%} UNH{0.149477%} JPM{8.071749%} MRK{18.535127%} MCD{0.149477%} VZ{10.313901%} IBM{18.236173%} GS{0.149477%} INTC{0.149477%} BA{2.690583%} MMM{5.231689%} TRV{18.684604%} WBA{9.566517%} ,
49,37583.23061,29277.69898,0.77901,13,MSFT{12.751678%} UNH{0.134228%} JPM{7.785235%} CVX{0.134228%} MRK{16.778523%} MCD{0.268456%} DIS{0.134228%} VZ{8.993289%} IBM{14.496644%} BA{4.295302%} MMM{8.590604%} TRV{17.046980%} WBA{8.590604%} ,
50,37685.03761,29313.16132,0.777846,9,MSFT{13.445378%} JPM{8.963585%} MRK{17.366947%} VZ{8.963585%} IBM{12.885154%} BA{2.240896%} MMM{9.383754%} TRV{17.787115%} WBA{8.963585%} ,
51,37739.37006,29352.76699,0.777776,12,MSFT{14.077025%} V{0.531208%} JPM{8.632138%} MRK{16.733068%} MCD{0.132802%} VZ{9.163347%} HON{0.398406%} IBM{11.952191%} BA{4.249668%} MMM{8.764940%} TRV{16.865870%} WBA{8.499336%} ,
52,37766.65996,29417.3843,0.778925,10,MSFT{8.926081%} JPM{5.020921%} MRK{17.712692%} MCD{4.463040%} VZ{11.018131%} IBM{12.831241%} BA{4.463040%} MMM{8.926081%} TRV{17.712692%} WBA{8.926081%} ,
53,37792.08334,29484.60899,0.78018,10,MSFT{8.876560%} JPM{5.547850%} MRK{17.614424%} MCD{4.438280%} VZ{10.957004%} IBM{12.760055%} BA{4.438280%} MMM{8.876560%} TRV{17.614424%} WBA{8.876560%} ,
54,37824.34246,29551.75281,0.781289,10,MSFT{8.827586%} JPM{6.068966%} MRK{17.517241%} MCD{4.413793%} VZ{10.896552%} IBM{12.689655%} BA{4.413793%} MMM{8.827586%} TRV{17.517241%} WBA{8.827586%} ,
55,37834.04521,29560.65336,0.781324,10,MSFT{8.839779%} JPM{6.077348%} MRK{17.403315%} MCD{4.419890%} VZ{10.911602%} IBM{12.707182%} BA{4.419890%} MMM{8.839779%} TRV{17.541436%} WBA{8.839779%} ,
56,37845.15042,29570.9199,0.781366,10,MSFT{8.852006%} JPM{6.085754%} MRK{17.289073%} MCD{4.426003%} VZ{10.926694%} IBM{12.724758%} BA{4.426003%} MMM{8.852006%} TRV{17.565698%} WBA{8.852006%} ,
57,37850.61424,29571.42994,0.781267,10,MSFT{8.839779%} JPM{6.077348%} MRK{17.541436%} MCD{4.419890%} VZ{10.911602%} IBM{12.707182%} BA{4.419890%} MMM{8.839779%} TRV{17.403315%} WBA{8.839779%} ,
58,37866.9235,29589.30031,0.781402,10,MSFT{8.876560%} JPM{6.102635%} MRK{17.059639%} MCD{4.438280%} VZ{10.957004%} IBM{12.760055%} BA{4.438280%} MMM{8.876560%} TRV{17.614424%} WBA{8.876560%} ,
59,37878.87589,29592.94271,0.781252,10,MSFT{8.852006%} JPM{6.085754%} MRK{17.565698%} MCD{4.426003%} VZ{10.926694%} IBM{12.724758%} BA{4.426003%} MMM{8.852006%} TRV{17.289073%} WBA{8.852006%} ,
60,37891.98432,29617.21273,0.781622,10,MSFT{8.839779%} JPM{6.077348%} MRK{17.541436%} MCD{4.419890%} VZ{10.773481%} IBM{12.707182%} BA{4.419890%} MMM{8.839779%} TRV{17.541436%} WBA{8.839779%} ,
61,37916.22,29628.38885,0.781417,10,MSFT{8.926081%} JPM{6.136681%} MRK{16.596932%} MCD{4.463040%} VZ{11.018131%} IBM{12.831241%} BA{4.463040%} MMM{8.926081%} TRV{17.712692%} WBA{8.926081%} ,
62,37928.76203,29668.11714,0.782206,10,MSFT{8.876560%} JPM{6.102635%} MRK{17.614424%} MCD{4.438280%} VZ{10.957004%} IBM{12.205270%} BA{4.438280%} MMM{8.876560%} TRV{17.614424%} WBA{8.876560%} ,
63,37961.8081,29684.57905,0.781959,10,MSFT{8.852006%} JPM{6.085754%} MRK{17.565698%} MCD{4.426003%} VZ{10.650069%} IBM{12.724758%} BA{4.426003%} MMM{8.852006%} TRV{17.565698%} WBA{8.852006%} ,
64,38007.61113,29687.45126,0.781092,12,MSFT{10.040706%} V{0.542741%} JPM{8.819539%} MRK{17.096336%} MCD{0.135685%} VZ{11.533243%} HON{0.407056%} IBM{12.211669%} BA{4.341927%} MMM{8.955224%} TRV{17.232022%} WBA{8.683853%} ,
65,38013.74487,29732.86681,0.782161,13,MSFT{13.031550%} UNH{0.137174%} JPM{7.956104%} CVX{0.137174%} MRK{17.146776%} MCD{0.274348%} DIS{0.137174%} VZ{9.190672%} IBM{12.620027%} BA{4.389575%} MMM{8.779150%} TRV{17.421125%} WBA{8.779150%} ,
66,38022.83433,29736.58735,0.782072,10,MSFT{8.575380%} JPM{6.500692%} MRK{17.565698%} VZ{10.926694%} HON{1.244813%} IBM{15.491010%} BA{4.426003%} MMM{8.852006%} TRV{17.565698%} WBA{8.852006%} ,
67,38039.47998,29786.98441,0.783054,10,MSFT{8.926081%} JPM{6.136681%} MRK{17.712692%} MCD{4.463040%} VZ{11.018131%} IBM{11.715481%} BA{4.463040%} MMM{8.926081%} TRV{17.712692%} WBA{8.926081%} ,
68,38100.86262,29816.90159,0.782578,10,MSFT{8.876560%} JPM{6.102635%} MRK{17.614424%} MCD{4.438280%} VZ{10.402219%} IBM{12.760055%} BA{4.438280%} MMM{8.876560%} TRV{17.614424%} WBA{8.876560%} ,
69,38118.69919,29819.31357,0.782275,11,MSFT{13.856209%} JPM{8.496732%} MRK{16.470588%} MCD{0.130719%} VZ{9.019608%} HON{0.392157%} IBM{11.764706%} BA{4.183007%} MMM{10.718954%} TRV{16.601307%} WBA{8.366013%} ,
70,38119.98626,29880.18812,0.783846,10,MSFT{9.815951%} UNH{0.306748%} JPM{9.815951%} MRK{19.018405%} VZ{9.815951%} IBM{14.110429%} BA{2.453988%} MMM{5.368098%} TRV{19.478528%} WBA{9.815951%} ,
71,38221.6118,29880.61057,0.781773,10,MSFT{11.428571%} UNH{0.285714%} JPM{9.142857%} MRK{17.714286%} VZ{9.142857%} IBM{13.142857%} BA{2.285714%} MMM{9.571429%} TRV{18.142857%} WBA{9.142857%} ,
72,38243.82965,29901.70961,0.78187,10,MSFT{11.444921%} UNH{0.286123%} JPM{9.155937%} MRK{17.739628%} VZ{9.155937%} IBM{13.161660%} BA{2.288984%} MMM{9.585122%} TRV{18.025751%} WBA{9.155937%} ,
73,38260.12493,29920.56533,0.78203,10,MSFT{11.494253%} UNH{0.287356%} JPM{9.195402%} MRK{17.241379%} VZ{9.195402%} IBM{13.218391%} BA{2.298851%} MMM{9.626437%} TRV{18.247126%} WBA{9.195402%} ,
74,38268.39265,29924.68674,0.781969,10,MSFT{11.461318%} UNH{0.286533%} JPM{9.169054%} MRK{17.765043%} VZ{9.169054%} IBM{13.180516%} BA{2.292264%} MMM{9.598854%} TRV{17.908309%} WBA{9.169054%} ,
75,38272.78421,29940.52222,0.782293,13,MSFT{13.249651%} UNH{0.139470%} JPM{8.089261%} CVX{0.139470%} MRK{17.433752%} MCD{0.278940%} DIS{0.139470%} VZ{9.902371%} IBM{10.599721%} BA{4.463040%} MMM{8.926081%} TRV{17.712692%} WBA{8.926081%} ,
76,38276.41638,30026.28148,0.784459,10,MSFT{9.026798%} JPM{6.205924%} MRK{17.912553%} MCD{4.513399%} VZ{11.142454%} IBM{10.719323%} BA{4.513399%} MMM{9.026798%} TRV{17.912553%} WBA{9.026798%} ,
