Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%}
31,50863.018948,9728.639426,0.191271,12.000000,AAPL{1.313321%} MSFT{0.187617%} WMT{3.189493%} JPM{0.375235%} PG{0.187617%} MRK{20.262664%} KO{15.009381%} CSCO{20.262664%} MCD{6.003752%} DIS{12.007505%} CRM{0.375235%} BA{20.825516%} 
32,50872.831559,9801.243523,0.192662,12.000000,AAPL{1.323251%} MSFT{0.189036%} WMT{3.213611%} JPM{0.378072%} PG{0.189036%} MRK{18.903592%} KO{15.879017%} CSCO{20.415879%} MCD{6.049149%} DIS{12.098299%} CRM{0.378072%} BA{20.982987%} 
33,50960.637784,9839.935974,0.193089,13.000000,AAPL{1.330798%} MSFT{0.190114%} WMT{3.231939%} JPM{0.380228%} PG{0.190114%} MRK{19.011407%} KO{15.209125%} CSCO{20.532319%} MCD{6.083650%} DIS{12.167300%} VZ{0.190114%} CRM{0.380228%} BA{21.102662%} 
34,50962.979596,9878.376192,0.193834,12.000000,AAPL{1.328273%} MSFT{0.189753%} WMT{3.225806%} JPM{0.379507%} PG{0.189753%} MRK{18.975332%} KO{15.559772%} CSCO{20.493359%} MCD{6.072106%} DIS{12.144213%} CRM{0.379507%} BA{21.062619%} 
35,50964.677906,9912.372730,0.194495,13.000000,AAPL{0.542495%} MSFT{0.180832%} WMT{3.074141%} JPM{0.361664%} PG{0.180832%} MRK{18.083183%} KO{14.466546%} CSCO{19.529837%} MCD{5.786618%} DIS{11.573237%} VZ{2.893309%} CRM{0.361664%} BA{22.965642%} 
36,51004.558975,9916.254203,0.194419,12.000000,AAPL{1.330798%} MSFT{0.190114%} WMT{3.231939%} JPM{0.380228%} PG{0.190114%} MRK{19.011407%} KO{15.399240%} CSCO{20.532319%} MCD{6.083650%} DIS{12.167300%} CRM{0.380228%} BA{21.102662%} 
37,51021.039778,9926.368345,0.194554,12.000000,AAPL{1.330798%} MSFT{0.190114%} WMT{3.231939%} JPM{0.380228%} PG{0.190114%} MRK{19.201521%} KO{15.209125%} CSCO{20.532319%} MCD{6.083650%} DIS{12.167300%} CRM{0.380228%} BA{21.102662%} 
38,51028.076189,10189.883088,0.199692,12.000000,AAPL{1.230228%} MSFT{0.175747%} WMT{2.987698%} JPM{0.351494%} PG{0.175747%} MRK{17.574692%} KO{19.683656%} CSCO{18.980668%} MCD{5.623902%} DIS{11.247803%} CRM{0.351494%} BA{21.616872%} 
39,51145.456026,10224.667974,0.199914,13.000000,AAPL{1.419878%} MSFT{0.202840%} UNH{3.245436%} WMT{3.448276%} JPM{0.405680%} PG{0.202840%} MRK{20.283976%} KO{16.227181%} CSCO{8.924949%} MCD{6.490872%} DIS{12.981744%} CRM{0.405680%} BA{25.760649%} 
40,51252.504921,10417.191165,0.203252,12.000000,AAPL{1.225919%} MSFT{0.175131%} WMT{2.977233%} JPM{0.350263%} PG{0.175131%} MRK{17.513135%} KO{19.614711%} CSCO{18.914186%} MCD{5.604203%} DIS{11.208406%} CRM{0.350263%} BA{21.891419%} 
41,51253.422556,10471.473352,0.204308,12.000000,AAPL{0.527241%} MSFT{0.175747%} WMT{2.987698%} JPM{0.351494%} PG{0.175747%} MRK{17.574692%} KO{19.683656%} CSCO{18.980668%} MCD{5.623902%} DIS{11.247803%} CRM{0.351494%} BA{22.319859%} 
42,51368.642588,10530.778722,0.205004,12.000000,AAPL{1.223776%} MSFT{0.174825%} WMT{2.972028%} JPM{0.349650%} PG{0.174825%} MRK{17.482517%} KO{19.580420%} CSCO{18.881119%} MCD{5.594406%} DIS{11.188811%} CRM{0.349650%} BA{22.027972%} 
43,51368.986035,10557.820393,0.205529,12.000000,AAPL{0.875657%} MSFT{0.175131%} WMT{2.977233%} JPM{0.350263%} PG{0.175131%} MRK{17.513135%} KO{19.614711%} CSCO{18.914186%} MCD{5.604203%} DIS{11.208406%} CRM{0.350263%} BA{22.241681%} 
44,51400.632989,10592.023159,0.206068,12.000000,AAPL{1.293900%} MSFT{0.184843%} WMT{3.142329%} JPM{0.369686%} PG{0.184843%} MRK{18.484288%} KO{14.787431%} CSCO{14.048059%} MCD{5.914972%} DIS{17.744917%} CRM{0.369686%} BA{23.475046%} 
45,51425.610232,10622.513017,0.206561,12.000000,AAPL{1.293900%} MSFT{0.184843%} WMT{3.142329%} JPM{0.369686%} PG{0.184843%} MRK{18.484288%} KO{16.266174%} CSCO{19.963031%} MCD{5.914972%} DIS{11.829945%} CRM{0.369686%} BA{21.996303%} 
46,51439.728605,10645.331407,0.206948,11.000000,AAPL{1.223776%} WMT{2.972028%} JPM{0.349650%} PG{0.174825%} MRK{17.482517%} KO{19.580420%} CSCO{18.881119%} MCD{5.594406%} DIS{11.188811%} CRM{0.349650%} BA{22.202797%} 
