Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn,Number of Computations
5,8306.T 9984.T 8058.T 8001.T HD ,0.44375180453032925243,181449.52969647909048944712,80518.55623399215983226895,103980
3,8306.T 9984.T 8001.T ,0.43976672411645456595,184516.07303516566753387451,81144.02898550727695692331,152571
7,9432.T 8306.T 9984.T 8058.T 8001.T 8031.T HD ,0.41990860503560961670,194315.98384948904276825488,81594.95371436099230777472,103885
6,7203.T 9432.T 8306.T 9984.T 8058.T 8001.T ,0.41719363881359272650,197342.36624446412315592170,82329.97986561269499361515,205711
6,7203.T 8306.T 9984.T 8058.T 8001.T HD ,0.41332138946949087410,202050.56104064866667613387,83511.81863241108658257872,132366
5,9432.T 8306.T 9984.T 8058.T 8031.T ,0.39481126060339966077,213076.92317713724332861602,84125.16864505929697770625,206493
3,8306.T 8058.T 8001.T ,0.42003928323736910988,214577.65119158159359358251,90131.04280527013179380447,108788
4,8306.T 9984.T 8058.T 8001.T ,0.39767058129689092372,230747.86735050339484587312,91761.63854229256685357541,109671
4,7203.T 8306.T 8058.T 8001.T ,0.39208075251840690534,235058.41752768240985460579,92161.88123003960936330259,165574
4,9984.T 8058.T 8001.T HD ,0.37366059649405203302,248441.63806692030630074441,92832.85067404482106212527,149466
3,8306.T 8001.T 8031.T ,0.37773631992573053484,253176.26496186316944658756,95633.87061923586588818580,20468
4,8306.T 9984.T 8001.T 8031.T ,0.37224562363687341282,257569.14096262585371732712,95878.98550724641245324165,293471
4,7203.T 8306.T 8001.T 8031.T ,0.36427546834159768574,264303.35436342924367636442,96279.22819499344041105360,153421
4,7203.T 8306.T 8058.T 8031.T ,0.35291105244603687696,278851.12894972349749878049,98409.64539341245836112648,105710
3,8306.T 8058.T 8031.T ,0.35095589738228194499,280611.81287896638968959451,98482.37060500662482809275,65082
5,8306.T 9984.T 8058.T 8001.T 8031.T ,0.35708047454344588045,283998.76302841142751276493,101410.41307193678221665323,5688
4,8306.T 8058.T 8001.T 8031.T ,0.35758566016598836157,287038.93459847924532368779,102641.00692173915740568191,107817
2,9984.T 8001.T ,0.34241704884960255661,309569.75539466924965381622,106001.96205533597094472498,170141
3,9984.T 8058.T 8001.T ,0.33695310502928726981,332152.21135408425470814109,111919.71895810277783311903,5046
5,7203.T 9984.T 8058.T 8001.T 8031.T ,0.32075566937504074172,357867.04251419391948729753,114787.88276890643464867026,5053
2,8058.T 8001.T ,0.32892221748277894466,363218.29555164382327347994,119470.56720316206337884068,104917
3,7203.T 8058.T 8031.T ,0.30368482028659971039,397695.59100546425906941295,120774.11408326747186947614,37426
1,8058.T ,0.30431108197031836449,406673.43417913117446005344,123755.23276363646436948329,105495
3,8058.T 8001.T 8031.T ,0.30535020869077367234,413982.23087460076203569770,126409.56059183138131629676,6454
2,8001.T 8031.T ,0.29757961754340883642,429252.26384933944791555405,127736.72450592885434161872,8333
2,8058.T 8031.T ,0.28707197904452885773,459806.48944595223292708397,131997.55890276678837835789,6788
1,8031.T ,0.27013751087380638571,519230.80120130820432677865,140263.71620553359389305115,7706

Duration,15341
