Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
39,25582.02829,23832.58237,0.931614,15,V{0.139082%} WMT{17.663421%} JPM{17.524339%} PG{1.808067%} MRK{9.040334%} KO{0.834492%} CSCO{5.006954%} NKE{0.139082%} DIS{8.901252%} VZ{3.198887%} CAT{8.901252%} INTC{4.589708%} AXP{4.450626%} BA{0.139082%} TRV{17.663421%} ,
40,25597.92904,23885.20144,0.933091,15,V{0.138313%} WMT{17.565698%} JPM{17.427386%} PG{1.798064%} MRK{10.096819%} KO{0.829876%} CSCO{4.426003%} NKE{0.138313%} DIS{8.852006%} VZ{3.181189%} CAT{8.852006%} INTC{4.564315%} AXP{4.426003%} BA{0.138313%} TRV{17.565698%} ,
41,25633.1085,23923.62784,0.93331,15,V{0.139082%} WMT{17.663421%} JPM{17.524339%} PG{1.808067%} MRK{9.040334%} KO{0.834492%} CSCO{4.450626%} NKE{0.139082%} DIS{8.901252%} VZ{3.198887%} CAT{8.901252%} INTC{5.146036%} AXP{4.450626%} BA{0.139082%} TRV{17.663421%} ,
42,25642.5824,23952.30739,0.934083,15,V{0.139470%} WMT{17.712692%} JPM{17.573222%} PG{1.813110%} MRK{9.065551%} KO{0.836820%} CSCO{4.741980%} NKE{0.139470%} DIS{8.926081%} VZ{3.207810%} CAT{8.926081%} INTC{4.602510%} AXP{4.463040%} BA{0.139470%} TRV{17.712692%} ,
43,25648.34417,23978.42578,0.934892,15,V{0.139082%} WMT{17.663421%} JPM{17.524339%} PG{1.808067%} MRK{9.596662%} KO{0.834492%} CSCO{4.450626%} NKE{0.139082%} DIS{8.901252%} VZ{3.198887%} CAT{8.901252%} INTC{4.589708%} AXP{4.450626%} BA{0.139082%} TRV{17.663421%} ,
44,25662.68575,24001.59404,0.935272,15,V{0.139470%} WMT{17.712692%} JPM{17.573222%} PG{2.092050%} MRK{9.065551%} KO{0.836820%} CSCO{4.463040%} NKE{0.139470%} DIS{8.926081%} VZ{3.207810%} CAT{8.926081%} INTC{4.602510%} AXP{4.463040%} BA{0.139470%} TRV{17.712692%} ,
45,25673.9213,24012.93493,0.935305,15,V{0.139665%} WMT{17.737430%} JPM{17.597765%} PG{1.815642%} MRK{9.078212%} KO{0.837989%} CSCO{4.608939%} NKE{0.139665%} DIS{8.938547%} VZ{3.212291%} CAT{8.938547%} INTC{4.608939%} AXP{4.469274%} BA{0.139665%} TRV{17.737430%} ,
46,25675.83876,24025.32456,0.935717,15,V{0.139470%} WMT{17.712692%} JPM{17.573222%} PG{1.813110%} MRK{9.344491%} KO{0.836820%} CSCO{4.463040%} NKE{0.139470%} DIS{8.926081%} VZ{3.207810%} CAT{8.926081%} INTC{4.602510%} AXP{4.463040%} BA{0.139470%} TRV{17.712692%} ,
47,25682.17267,24027.65088,0.935577,15,V{0.139665%} WMT{17.737430%} JPM{17.597765%} PG{1.815642%} MRK{9.078212%} KO{0.977654%} CSCO{4.469274%} NKE{0.139665%} DIS{8.938547%} VZ{3.212291%} CAT{8.938547%} INTC{4.608939%} AXP{4.469274%} BA{0.139665%} TRV{17.737430%} ,
48,25698.5327,24044.16454,0.935624,16,JNJ{0.139665%} V{0.139665%} WMT{17.737430%} JPM{17.597765%} PG{1.815642%} MRK{9.078212%} KO{0.837989%} CSCO{4.469274%} NKE{0.139665%} DIS{8.938547%} VZ{3.212291%} CAT{8.938547%} INTC{4.608939%} AXP{4.469274%} BA{0.139665%} TRV{17.737430%} ,
