Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn
7,8035.T  6367.T  8058.T  4519.T  2914.T  MRK  CRM ,0.39574803434096389454,101609.16379575918836053461,40211.62684320073458366096
6,8035.T  8058.T  4519.T  2914.T  MRK  CRM ,0.39173883019243921355,103572.79239565935858990997,40573.48453283996059326455
5,8035.T  8058.T  4519.T  2914.T  MRK ,0.39093308078442357001,104558.96457577175169717520,40875.55814523586013820022
4,6367.T  8058.T  4519.T  CRM ,0.39880838501262622087,105450.45550011197337880731,42054.52585684546647826210
5,8035.T  6367.T  8058.T  AAPL  MRK ,0.38751447054562160321,108717.99463195716089103371,42129.79612858461041469127
6,8035.T  6367.T  8058.T  4519.T  MRK  CRM ,0.39784303559062872413,109007.98184665183362085372,43368.06640148011501878500
5,8035.T  6367.T  8058.T  4519.T  MRK ,0.38905406684718613075,113630.86564301143516786397,44208.55039777979982318357
6,7203.T  8035.T  6367.T  8058.T  4519.T  AAPL ,0.38511475847121479088,116260.44166761668748222291,44773.61191258095641387627
4,8035.T  8058.T  4519.T  MRK ,0.38399561758568384606,119056.21567597704415675253,45717.06506591117795323953
5,7203.T  8035.T  8058.T  4519.T  AAPL ,0.36942598879400589951,125079.03911158809205517173,46207.44770120256725931540
5,8035.T  6367.T  8058.T  MRK  CRM ,0.36895844820973816569,126845.17021292887511663139,46800.59716466234385734424
4,8035.T  8058.T  8001.T  MRK ,0.35928198800123734014,130529.05218260409310460091,46896.73736008324340218678
5,8035.T  6367.T  8058.T  8316.T  4519.T ,0.35997061315356004840,130715.43997402438253629953,47053.71707608693395741284
6,7203.T  8035.T  6367.T  8058.T  8001.T  4519.T ,0.36112886921962517039,130957.38620459240337368101,47292.49279602219758089632
6,8035.T  6367.T  8058.T  4519.T  AAPL  CRM ,0.36542272023928540348,132564.74122549823368899524,48442.16834643850597785786
4,8035.T  6367.T  8058.T  MRK ,0.36402047075914301111,133487.27562220254912972450,48592.10091234964784234762
6,7203.T  8035.T  6367.T  8058.T  4519.T  CRM ,0.36353897459637984912,133867.94101483860868029296,48666.21400786309095565230
5,8035.T  6367.T  8058.T  4519.T  AAPL ,0.37274707323819067373,134937.71326055622193962336,50297.63768732652533799410
5,7203.T  8035.T  6367.T  8058.T  4519.T ,0.36432917863992653196,138794.77324380446225404739,50566.98573543013480957597
3,8035.T  8058.T  MRK ,0.36701054534658150708,142074.72881562489783391356,52142.92370259017479838803
5,8035.T  6367.T  8058.T  8001.T  4519.T ,0.35209809556880439230,151427.33711898865294642746,53317.27701665122731355950
4,7203.T  8035.T  8058.T  4519.T ,0.34969081990765532586,153467.03931508291861973703,53666.01480689171876292676
5,8035.T  6367.T  8058.T  4519.T  CRM ,0.35218325672335065724,156079.08006422751350328326,54968.43872340424422873184
4,8035.T  6367.T  8058.T  AAPL ,0.35166851943424393134,159819.46348121369373984635,56203.47409921363578177989
4,7203.T  8035.T  6367.T  8058.T ,0.33910650885691023815,166735.37421597627690061927,56541.05065333020320395008
4,8035.T  6367.T  8058.T  4519.T ,0.34852334870911905185,168717.49306036581401713192,58801.98566720624512527138
