Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
154,71494.90633,4803.946177,0.067193,5,AAPL{11.594203%} WMT{7.729469%} CVX{42.028986%} NKE{30.917874%} CAT{7.729469%} ,
155,71613.99921,4808.684458,0.067147,5,AAPL{3.864734%} WMT{15.458937%} CVX{42.028986%} NKE{30.917874%} CAT{7.729469%} ,
156,71650.56653,4837.423083,0.067514,5,AAPL{11.678832%} WMT{6.204380%} CVX{44.160584%} NKE{29.197080%} CAT{8.759124%} ,
157,71671.35792,4842.619758,0.067567,5,AAPL{6.866953%} WMT{13.733906%} CVX{44.206009%} NKE{27.467811%} CAT{7.725322%} ,
158,71902.29688,4853.762888,0.067505,5,AAPL{11.111111%} WMT{0.347222%} CVX{44.097222%} NKE{33.333333%} CAT{11.111111%} ,
159,71920.3155,4859.12195,0.067563,5,AAPL{5.594406%} WMT{5.594406%} CVX{44.055944%} NKE{33.566434%} CAT{11.188811%} ,
160,72019.86139,4880.572379,0.067767,5,AAPL{5.574913%} WMT{5.574913%} CVX{44.250871%} NKE{33.449477%} CAT{11.149826%} ,
161,72066.52624,4938.937001,0.068533,5,AAPL{7.881773%} WMT{9.852217%} CVX{42.857143%} NKE{31.527094%} CAT{7.881773%} ,
162,72267.00363,4939.61908,0.068352,5,AAPL{11.818182%} WMT{7.727273%} CVX{43.181818%} NKE{30.000000%} CAT{7.272727%} ,
163,72277.18466,4959.505402,0.068618,5,AAPL{7.272727%} WMT{7.272727%} CVX{43.181818%} NKE{33.181818%} CAT{9.090909%} ,
164,72290.4849,4976.63004,0.068842,5,AAPL{6.800000%} WMT{12.800000%} CVX{43.600000%} NKE{29.600000%} CAT{7.200000%} ,
165,72531.82184,5043.075713,0.069529,5,AAPL{8.290155%} WMT{8.290155%} CVX{44.559585%} NKE{30.569948%} CAT{8.290155%} ,
166,72667.38896,5055.947539,0.069577,5,AAPL{7.729469%} WMT{9.661836%} CVX{43.961353%} NKE{30.917874%} CAT{7.729469%} ,
167,72983.72148,5112.538877,0.07005,5,AAPL{7.655502%} WMT{9.569378%} CVX{44.497608%} NKE{30.622010%} CAT{7.655502%} ,
