After EL,,,Gbest ratio:,1.162788,#in front,1008
Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
72,14492.49269,16726.74666,1.154166,10,V{10.372771%} WMT{7.617504%} PG{7.455429%} CVX{20.583468%} KO{10.534846%} MCD{10.048622%} IBM{10.210697%} CAT{2.593193%} AXP{4.862237%} BA{15.721232%} ,
73,14501.32782,16734.60362,1.154005,10,V{10.372771%} WMT{7.617504%} PG{7.455429%} CVX{20.583468%} KO{10.534846%} MCD{10.210697%} IBM{10.048622%} CAT{2.593193%} AXP{4.862237%} BA{15.721232%} ,
74,14511.92458,16747.89084,1.154078,10,V{10.372771%} WMT{7.617504%} PG{7.455429%} CVX{20.583468%} KO{10.534846%} MCD{10.048622%} IBM{10.048622%} CAT{2.593193%} AXP{5.024311%} BA{15.721232%} ,
75,14518.21767,16752.88349,1.153921,10,V{10.372771%} WMT{7.617504%} PG{7.617504%} CVX{20.583468%} KO{10.534846%} MCD{10.048622%} IBM{10.048622%} CAT{2.593193%} AXP{4.862237%} BA{15.721232%} ,
76,14522.14404,16759.4637,1.154063,10,V{10.534846%} WMT{7.617504%} PG{7.455429%} CVX{20.583468%} KO{10.534846%} MCD{10.048622%} IBM{10.048622%} CAT{2.593193%} AXP{4.862237%} BA{15.721232%} ,
77,14522.23357,16763.35589,1.154324,10,V{10.389610%} WMT{7.629870%} PG{7.467532%} CVX{20.616883%} KO{10.551948%} MCD{10.064935%} IBM{10.064935%} CAT{2.597403%} AXP{4.870130%} BA{15.746753%} ,
78,14530.50164,16778.28061,1.154694,10,V{10.526316%} WMT{7.730263%} PG{6.414474%} CVX{20.888158%} KO{10.526316%} MCD{10.032895%} IBM{10.361842%} CAT{2.631579%} AXP{5.098684%} BA{15.789474%} ,
79,14536.31743,16791.37337,1.155133,10,V{10.423453%} WMT{8.957655%} PG{6.351792%} CVX{20.684039%} KO{10.423453%} MCD{9.771987%} IBM{10.097720%} CAT{2.605863%} AXP{4.885993%} BA{15.798046%} ,
80,14548.4838,16804.8748,1.155095,10,V{10.474632%} WMT{7.692308%} PG{6.382979%} CVX{20.785597%} KO{11.129296%} MCD{9.819967%} IBM{10.147300%} CAT{2.618658%} AXP{5.073650%} BA{15.875614%} ,
81,14559.5914,16813.65825,1.154817,11,V{10.509031%} WMT{7.717570%} PG{6.403941%} CVX{20.853859%} KO{10.509031%} MCD{9.852217%} IBM{10.180624%} CAT{2.627258%} AXP{5.090312%} BA{15.927750%} MMM{0.328407%} ,
82,14567.95679,16820.36795,1.154614,10,V{10.406504%} WMT{7.642276%} PG{7.642276%} CVX{20.650407%} KO{10.406504%} MCD{9.756098%} IBM{10.081301%} CAT{2.601626%} AXP{5.040650%} BA{15.772358%} ,
83,14568.31947,16835.79563,1.155644,10,V{10.491803%} WMT{9.016393%} PG{5.737705%} CVX{20.819672%} KO{10.491803%} MCD{9.836066%} IBM{10.163934%} CAT{2.622951%} AXP{4.918033%} BA{15.901639%} ,
84,14579.38354,16852.12828,1.155888,10,V{10.509031%} WMT{7.717570%} PG{6.403941%} CVX{20.853859%} KO{10.509031%} MCD{10.180624%} IBM{10.180624%} CAT{2.627258%} AXP{5.090312%} BA{15.927750%} ,
85,14584.34686,16858.79296,1.155951,10,V{10.509031%} WMT{7.717570%} PG{6.403941%} CVX{20.853859%} KO{10.837438%} MCD{9.852217%} IBM{10.180624%} CAT{2.627258%} AXP{5.090312%} BA{15.927750%} ,
86,14590.51302,16861.78391,1.155668,11,V{10.526316%} WMT{7.730263%} PG{6.414474%} CVX{20.888158%} KO{10.526316%} MCD{9.868421%} IBM{10.197368%} CAT{2.631579%} AXP{5.098684%} BA{15.953947%} MMM{0.164474%} ,
87,14593.06716,16863.78397,1.155602,11,V{10.491803%} WMT{7.704918%} PG{6.393443%} CVX{20.819672%} HD{0.163934%} KO{10.491803%} MCD{10.163934%} IBM{10.163934%} CAT{2.622951%} AXP{5.081967%} BA{15.901639%} ,
88,14593.36179,16876.14639,1.156426,10,V{10.543657%} WMT{7.742998%} PG{6.425041%} CVX{20.922570%} KO{10.543657%} MCD{10.049423%} IBM{10.378913%} CAT{2.635914%} AXP{4.777595%} BA{15.980231%} ,
89,14600.33491,16881.01892,1.156208,10,V{10.526316%} WMT{7.730263%} PG{6.414474%} CVX{20.888158%} KO{10.526316%} MCD{10.032895%} IBM{10.197368%} CAT{2.631579%} AXP{5.098684%} BA{15.953947%} ,
90,14602.61054,16884.35126,1.156256,10,V{10.526316%} WMT{7.730263%} PG{6.414474%} CVX{20.888158%} KO{10.690789%} MCD{9.868421%} IBM{10.197368%} CAT{2.631579%} AXP{5.098684%} BA{15.953947%} ,
91,14614.37569,16921.80688,1.157888,10,V{10.389610%} WMT{8.928571%} PG{6.331169%} CVX{20.616883%} KO{10.389610%} MCD{9.740260%} IBM{10.064935%} CAT{2.597403%} AXP{4.870130%} BA{16.071429%} ,
92,14632.60088,16923.10876,1.156535,10,V{10.561056%} WMT{7.755776%} PG{6.270627%} CVX{20.957096%} KO{10.561056%} MCD{9.900990%} IBM{10.231023%} CAT{2.640264%} AXP{5.115512%} BA{16.006601%} ,
93,14633.81606,16928.16888,1.156784,10,V{10.561056%} WMT{7.755776%} PG{6.435644%} CVX{20.957096%} KO{10.561056%} MCD{9.900990%} IBM{10.231023%} CAT{2.640264%} AXP{4.950495%} BA{16.006601%} ,
94,14645.94792,16930.21983,1.155966,10,V{10.526316%} WMT{7.730263%} PG{6.414474%} CVX{20.888158%} KO{11.184211%} MCD{9.868421%} IBM{10.197368%} CAT{2.796053%} AXP{4.440789%} BA{15.953947%} ,
95,14648.49931,16934.60606,1.156064,11,JNJ{0.165289%} V{10.578512%} WMT{7.768595%} PG{6.280992%} CVX{20.991736%} KO{10.578512%} MCD{9.917355%} IBM{10.247934%} CAT{2.644628%} AXP{4.793388%} BA{16.033058%} ,
96,14655.42114,16936.88057,1.155673,11,V{10.509031%} WMT{7.717570%} PG{6.403941%} CVX{20.853859%} HD{0.328407%} KO{10.509031%} MCD{9.852217%} IBM{10.180624%} CAT{2.627258%} AXP{5.090312%} BA{15.927750%} ,
97,14655.7954,16944.6922,1.156177,10,V{10.792580%} WMT{7.925801%} PG{6.576728%} CVX{21.416526%} KO{10.792580%} MCD{8.768971%} IBM{10.455312%} CAT{2.023609%} AXP{4.890388%} BA{16.357504%} ,
98,14660.80842,16986.32708,1.158621,10,V{10.372771%} WMT{8.914100%} PG{6.320908%} CVX{20.583468%} KO{10.372771%} MCD{9.724473%} IBM{10.048622%} CAT{2.593193%} AXP{4.862237%} BA{16.207455%} ,
99,14689.77025,16988.74666,1.156502,10,V{10.792580%} WMT{7.925801%} PG{6.576728%} CVX{21.416526%} KO{10.792580%} MCD{8.768971%} IBM{10.118044%} CAT{2.023609%} AXP{5.227656%} BA{16.357504%} ,
100,14697.44901,17032.19543,1.158854,10,V{10.440457%} WMT{8.972268%} PG{5.709625%} CVX{20.717781%} KO{10.440457%} MCD{9.787928%} IBM{10.114192%} CAT{2.610114%} AXP{4.893964%} BA{16.313214%} ,
101,14712.34914,17050.85648,1.158949,10,V{10.355987%} WMT{8.899676%} PG{6.310680%} CVX{20.550162%} KO{10.355987%} MCD{9.708738%} IBM{10.032362%} CAT{2.588997%} AXP{4.854369%} BA{16.343042%} ,
102,14719.96946,17061.19392,1.159051,10,V{10.372771%} WMT{8.914100%} PG{6.158833%} CVX{20.583468%} KO{10.372771%} MCD{9.724473%} IBM{10.048622%} CAT{2.593193%} AXP{4.862237%} BA{16.369530%} ,
103,14725.95591,17067.00227,1.158974,10,V{10.372771%} WMT{8.752026%} PG{6.320908%} CVX{20.583468%} KO{10.372771%} MCD{9.724473%} IBM{10.048622%} CAT{2.593193%} AXP{4.862237%} BA{16.369530%} ,
104,14729.54088,17073.17365,1.159111,10,V{10.389610%} WMT{8.928571%} PG{6.006494%} CVX{20.616883%} KO{10.389610%} MCD{9.740260%} IBM{10.064935%} CAT{2.597403%} AXP{4.870130%} BA{16.396104%} ,
105,14736.34514,17083.06904,1.159247,10,V{10.389610%} WMT{8.928571%} PG{6.331169%} CVX{20.616883%} KO{10.389610%} MCD{9.740260%} IBM{10.064935%} CAT{2.597403%} AXP{4.545455%} BA{16.396104%} ,
106,14741.57263,17084.63797,1.158943,10,V{10.389610%} WMT{8.603896%} PG{6.331169%} CVX{20.616883%} KO{10.389610%} MCD{9.740260%} IBM{10.064935%} CAT{2.597403%} AXP{4.870130%} BA{16.396104%} ,
107,14750.34085,17096.92358,1.159087,10,V{10.423453%} WMT{8.957655%} PG{5.700326%} CVX{20.684039%} KO{10.423453%} MCD{9.771987%} IBM{10.097720%} CAT{2.605863%} AXP{4.885993%} BA{16.449511%} ,
