Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
514,63077.31682,37782.06906,0.59898,4,CSCO{72.988506%} VZ{0.574713%} AMGN{20.689655%} IBM{5.747126%} ,
515,63127.74398,37787.4384,0.598587,5,MRK{1.117318%} CSCO{70.949721%} VZ{5.027933%} AMGN{21.229050%} IBM{1.675978%} ,
516,63723.9333,37793.29585,0.593079,5,MRK{1.117318%} CSCO{70.949721%} VZ{0.558659%} AMGN{21.229050%} IBM{6.145251%} ,
517,63739.3566,37970.0551,0.595708,4,CSCO{71.751412%} VZ{5.084746%} AMGN{21.468927%} IBM{1.694915%} ,
518,63892.09411,37979.02933,0.594425,4,CSCO{72.571429%} VZ{0.571429%} AMGN{21.142857%} IBM{5.714286%} ,
519,64782.34273,38174.14388,0.589268,4,CSCO{72.159091%} VZ{0.568182%} AMGN{21.590909%} IBM{5.681818%} ,
520,69099.32166,38908.09586,0.563075,5,MRK{1.081081%} CSCO{68.648649%} VZ{4.864865%} AMGN{23.783784%} IBM{1.621622%} ,
521,69739.25204,39095.84069,0.5606,4,CSCO{69.398907%} VZ{4.918033%} AMGN{24.043716%} IBM{1.639344%} ,
522,71374.42331,39300.44001,0.550624,4,CSCO{69.780220%} VZ{0.549451%} AMGN{24.175824%} IBM{5.494505%} ,
523,77694.64854,39311.1109,0.505969,5,WMT{0.502513%} CSCO{63.819095%} VZ{4.522613%} AMGN{26.633166%} IBM{4.522613%} ,
524,77729.36955,39529.03711,0.508547,5,CSCO{65.128205%} MCD{1.025641%} VZ{5.641026%} AMGN{26.666667%} IBM{1.538462%} ,
525,79363.70893,40293.1529,0.507702,5,MRK{1.036269%} CSCO{65.803109%} VZ{4.663212%} AMGN{26.943005%} IBM{1.554404%} ,
526,80070.76281,40486.51176,0.505634,4,CSCO{66.492147%} VZ{4.712042%} AMGN{27.225131%} IBM{1.570681%} ,
527,82204.41856,40690.24323,0.494989,4,CSCO{66.842105%} VZ{0.526316%} AMGN{27.368421%} IBM{5.263158%} ,
528,95836.89716,40739.27043,0.42509,4,MRK{19.008264%} CSCO{52.479339%} VZ{0.413223%} AMGN{28.099174%} ,
529,96994.28595,41277.89929,0.42557,5,MRK{0.921659%} CSCO{58.525346%} VZ{4.147465%} AMGN{31.336406%} IBM{5.069124%} ,
