Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},all%
83,9911.758854520619934191927313804626,7980.577104611330469197127968072891,0.805162557094646902378087816032,5,WMT{3%}MRK{6%}GS{2%}BA{2%}WBA{1%}Cash{86%},100
84,9982.584023262530536158010363578796,8050.259088801054531359113752841949,0.806430386164688761674312900141,6,WMT{3%}MRK{6%}NKE{1%}GS{2%}BA{2%}TRV{1%}Cash{85%},100
85,10048.094803685278748162090778350830,8119.901154677200793230440467596054,0.808103557273276762451530430553,6,WMT{3%}MRK{6%}NKE{1%}GS{1%}BA{2%}WBA{1%}Cash{86%},100
86,10147.134641326339988154359161853790,8165.753156258257149602286517620087,0.804734877864092812416174638201,4,WMT{4%}MRK{6%}GS{3%}BA{2%}Cash{85%},100
87,10246.997626780055725248530507087708,8182.574719894600093539338558912277,0.798533874791755415856187028112,6,WMT{3%}MRK{6%}KO{1%}NKE{1%}GS{2%}BA{2%}Cash{85%},100
88,10274.547748886783665511757135391235,8294.330983399204342276789247989655,0.807269690707103859672599810438,5,WMT{3%}MRK{7%}NKE{1%}GS{2%}BA{2%}Cash{85%},100
89,10339.439479639899218454957008361816,8305.077206324096550815738737583160,0.803242499042447599677529979090,5,WMT{4%}MRK{6%}NKE{1%}GS{2%}BA{2%}Cash{85%},100
90,10352.074327163170892163179814815521,8476.540855862986063584685325622559,0.818825347266015413083550811280,4,WMT{4%}MRK{6%}NKE{1%}BA{3%}Cash{86%},100
91,10482.810963211391936056315898895264,8556.564017918306490173563361167908,0.816247097076051586483913524717,5,WMT{2%}MRK{7%}NKE{1%}GS{3%}BA{2%}Cash{85%},100
92,10536.050861844540122547186911106110,8567.141847694318130379542708396912,0.813126470252676258887447602319,5,WMT{3%}MRK{6%}NKE{1%}GS{3%}BA{2%}Cash{85%},100
93,10675.142163107133455923758447170258,8578.379427667992786155082285404205,0.803584560898357946889802860824,5,WMT{4%}MRK{6%}NKE{1%}BA{3%}TRV{1%}Cash{85%},100
94,10720.093532346751089789904654026031,8710.695058761515610967762768268585,0.812557747978402633570738089475,5,WMT{4%}MRK{6%}KO{1%}NKE{1%}BA{3%}Cash{85%},100
95,10848.143835535944162984378635883331,8773.728264031611615791916847229004,0.808776911243650808991390022129,4,WMT{3%}MRK{7%}GS{4%}BA{2%}Cash{84%},100
96,10854.857280821450331131927669048309,8913.052314097509224666282534599304,0.821111884155791171835403474688,5,WMT{3%}MRK{7%}NKE{1%}GS{3%}BA{2%}Cash{84%},100
97,11052.054704109132217126898467540741,9223.840013702247233595699071884155,0.834581465677403988578930693620,4,WMT{3%}MRK{7%}NKE{2%}BA{3%}Cash{85%},100
98,11284.286271183334974921308457851410,9234.586236627143080113455653190613,0.818358025904526331650856718625,4,WMT{4%}MRK{6%}NKE{2%}BA{3%}Cash{85%},100
99,11301.103056790172558976337313652039,9255.996601317503518657758831977844,0.819034792869720473795780435466,5,WMT{3%}MRK{7%}NKE{1%}BA{3%}WBA{1%}Cash{85%},100
100,11342.379860743971221381798386573792,9325.678585507263051113113760948181,0.822197695721995636120027484139,5,WMT{3%}MRK{7%}NKE{2%}BA{3%}TRV{1%}Cash{84%},100
101,11388.777431298243755009025335311890,9439.016829512549520586617290973663,0.828799832682002413086763681349,5,WMT{4%}MRK{7%}NKE{1%}GS{1%}BA{3%}Cash{84%},100
102,11502.494621413545246468856930732727,9570.095700131749254069291055202484,0.832001753977406055540200213727,4,WMT{3%}MRK{8%}NKE{2%}BA{3%}Cash{84%},100
103,11532.925774943392752902582287788391,9580.496703030321441474370658397675,0.830708259984214270055247197888,4,WMT{4%}MRK{7%}NKE{2%}BA{3%}Cash{84%},100
104,11642.344084096912411041557788848877,9612.653290645588640472851693630219,0.825663046995508409509056946263,5,WMT{4%}MRK{7%}NKE{1%}BA{3%}WBA{1%}Cash{84%},100
105,11829.172590955047780880704522132874,9673.171032411099076853133738040924,0.817738599892227968624069944781,6,WMT{4%}MRK{7%}KO{1%}NKE{1%}GS{1%}BA{3%}Cash{83%},100
106,11891.036094640376177267171442508698,9682.335274835297241224907338619232,0.814254973054820530009578760655,5,WMT{4%}MRK{7%}NKE{2%}BA{3%}TRV{1%}Cash{83%},100
107,11962.068231745633966056630015373230,9795.505125691701323376037180423737,0.818880559441704125589467366808,5,WMT{5%}MRK{7%}NKE{1%}GS{1%}BA{3%}Cash{83%},100
108,12069.736527111350369523279368877411,9830.172911198960719048045575618744,0.814448011281619588253022357094,5,WMT{2%}MRK{8%}NKE{2%}GS{1%}BA{3%}Cash{84%},100
109,12077.915661356979398988187313079834,9874.023857180482082185335457324982,0.817527140777460470388859903323,6,WMT{4%}PG{1%}MRK{7%}NKE{1%}GS{1%}BA{3%}Cash{83%},100
110,12160.012330791048952960409224033356,9926.752389459801634075120091438293,0.816343941060299393974730719492,4,WMT{4%}MRK{8%}NKE{2%}BA{3%}Cash{83%},100
111,12230.832661664100669440813362598419,10186.661207378148901625536382198334,0.832867351648663101215674942068,5,WMT{3%}MRK{8%}NKE{2%}GS{1%}BA{3%}Cash{83%},100
112,12384.082856701696073287166655063629,10197.062210276679252274334430694580,0.823400677165083583197713323898,5,WMT{4%}MRK{7%}NKE{2%}GS{1%}BA{3%}Cash{83%},100
113,12444.590045299044504645280539989471,10218.817794993405186687596142292023,0.821145393925899025333592362585,6,WMT{3%}MRK{8%}NKE{1%}GS{1%}BA{3%}WBA{1%}Cash{83%},100
114,12501.044552915262102033011615276337,10229.218797891970098135061562061310,0.818269125799291785483546846081,6,WMT{4%}MRK{7%}NKE{1%}GS{1%}BA{3%}WBA{1%}Cash{83%},100
115,12512.971454292735870694741606712341,10403.993846640316405682824552059174,0.831456691533575931174482320785,5,WMT{4%}MRK{8%}NKE{1%}GS{2%}BA{3%}Cash{82%},100
116,12628.841519556050116079859435558319,10414.226456389977101935073733329773,0.824638304334036398302032466745,5,WMT{5%}MRK{7%}NKE{1%}GS{2%}BA{3%}Cash{82%},100
117,12708.003433878955547697842121124268,10543.317896706204919610172510147095,0.829659666962176078897073239204,5,WMT{4%}MRK{8%}NKE{2%}GS{1%}BA{3%}Cash{82%},100
118,12795.963691649474640144035220146179,10575.474484321484851534478366374969,0.826469560180366880075553126517,6,WMT{4%}MRK{8%}NKE{1%}GS{1%}BA{3%}WBA{1%}Cash{82%},100
119,12977.854015189708661637268960475922,10585.707094071160099701955914497375,0.815674693341541634517000147753,6,WMT{5%}MRK{7%}NKE{1%}GS{1%}BA{3%}WBA{1%}Cash{82%},100
120,13010.415863685642761993221938610077,10638.148049538844134076498448848724,0.817663951790487009141372709564,6,WMT{4%}MRK{8%}KO{1%}NKE{1%}GS{2%}BA{3%}Cash{81%},100
121,13076.223576050868359743617475032806,10760.482142819520959164947271347046,0.822904417337079419070278163417,5,WMT{5%}MRK{8%}NKE{1%}GS{2%}BA{3%}Cash{81%},100
122,13248.554512724242158583365380764008,10805.382538076422861195169389247894,0.815589544330942994854183325515,5,WMT{3%}MRK{8%}NKE{2%}GS{2%}BA{3%}Cash{82%},100
123,13265.335320886619228986091911792755,10839.000874308316269889473915100098,0.817092113551176058017233572173,6,WMT{4%}PG{1%}MRK{8%}NKE{1%}GS{2%}BA{3%}Cash{81%},100
124,13359.898349140359641751274466514587,11022.715177338592184241861104965210,0.825059808785734261071809214627,5,WMT{4%}MRK{8%}NKE{1%}GS{3%}BA{3%}Cash{81%},100
125,13467.499358445213147206231951713562,11151.293004479577575693838298320770,0.828015113101662314498696559895,5,WMT{3%}MRK{9%}NKE{2%}GS{2%}BA{3%}Cash{81%},100
126,13555.554394298707848065532743930817,11162.039227404489793116226792335510,0.823429193873405851356039875100,5,WMT{4%}MRK{8%}NKE{2%}GS{2%}BA{3%}Cash{81%},100
127,13651.285845678537953062914311885834,11183.449592094839317724108695983887,0.819223164654125368677739515988,6,WMT{3%}MRK{9%}NKE{1%}GS{2%}BA{3%}WBA{1%}Cash{81%},100
128,13651.831702980787667911499738693237,11194.195815019738802220672369003296,0.819977572136020405046963333007,6,WMT{4%}MRK{8%}NKE{1%}GS{2%}BA{3%}WBA{1%}Cash{81%},100
129,13700.628521783501128084026277065277,11368.625643741766907623969018459320,0.829788620694741574368435976794,5,WMT{4%}MRK{9%}NKE{1%}GS{3%}BA{3%}Cash{80%},100
130,13756.109923300828086212277412414551,11379.203473517789461766369640827179,0.827210856627649593342255229800,5,WMT{5%}MRK{8%}NKE{1%}GS{3%}BA{3%}Cash{80%},100
131,13939.001644662032049382105469703674,11507.949693807640869636088609695435,0.825593538703299656411616069818,5,WMT{4%}MRK{9%}NKE{2%}GS{2%}BA{3%}Cash{80%},100
132,14008.876287738816245109774172306061,11540.106281422918982570990920066833,0.823771018059694548618665521644,6,WMT{4%}MRK{9%}NKE{1%}GS{2%}BA{3%}WBA{1%}Cash{80%},100
133,14031.486957441900813137181103229523,11677.397941501978493761271238327026,0.832228115018744940556416622712,4,WMT{4%}MRK{9%}NKE{2%}BA{4%}Cash{81%},100
134,14113.066495671482698526233434677124,11687.975771278001047903671860694885,0.828166988008080084959772193542,4,WMT{5%}MRK{8%}NKE{2%}BA{4%}Cash{81%},100
135,14252.791021072909643407911062240601,11725.113939920935081318020820617676,0.822653887409506290318006449525,5,WMT{5%}MRK{9%}NKE{1%}GS{3%}BA{3%}Cash{79%},100
136,14333.802059695393836591392755508423,11789.814343083000494516454637050629,0.822518288865888291816474975349,5,WMT{5%}MRK{8%}NKE{2%}BA{4%}TRV{1%}Cash{80%},100
137,14397.222906673760007834061980247498,12033.886237681152124423533678054810,0.835847740615511702877427069325,4,WMT{5%}MRK{9%}NKE{2%}BA{4%}Cash{80%},100
138,14589.816535995751110021956264972687,12044.464067457161945640109479427338,0.825539103781138150495166883047,4,WMT{6%}MRK{8%}NKE{2%}BA{4%}Cash{80%},100
139,14703.290420112380161299370229244232,12044.600020553350987029261887073517,0.819177182549407301159760663722,5,WMT{4%}MRK{9%}NKE{2%}IBM{1%}BA{4%}Cash{80%},100
140,14713.568009474473001318983733654022,12112.404969169963806052692234516144,0.823213306342176931451604104950,5,WMT{4%}PG{1%}MRK{9%}NKE{2%}BA{4%}Cash{80%},100
141,14745.784041337476082844659686088562,12116.270021607380840578116476535797,0.821676893384667206277072182274,5,WMT{3%}MRK{10%}NKE{2%}GS{3%}BA{3%}Cash{79%},100
