Non-Dominant Set,Risk,Profit,TrendRaio,a,b,# of Portfolio,Portfolio{%}
156,28968.776711560090916464105248451233,37256.293183038687857333570718765259,1.286084447196261359991353856458,2746.291585852442949544638395309448,-41470.732278064679121598601341247559,19,AAPL{18.5667752443%} UNH{19.7068403909%} V{0.1628664495%} WMT{0.4885993485%} PG{13.0293159609%} HD{0.3257328990%} MRK{0.3257328990%} KO{1.3029315961%} CSCO{0.8143322476%} MCD{11.2377850163%} NKE{8.1433224756%} DIS{5.0488599349%} CRM{2.1172638436%} GS{0.1628664495%} CAT{0.1628664495%} INTC{0.1628664495%} AXP{0.3257328990%} TRV{0.1628664495%} DD{17.7524429967%} 
157,28988.686218248902150662615895271301,37273.942746422726486343890428543091,1.285810004144241069923282339005,2745.386355215397088613826781511307,-41427.132769751988234929740428924561,19,AAPL{18.5667752443%} UNH{19.7068403909%} V{0.1628664495%} WMT{0.4885993485%} PG{13.0293159609%} HD{0.4885993485%} MRK{0.3257328990%} KO{1.3029315961%} CSCO{0.8143322476%} MCD{11.2377850163%} NKE{8.1433224756%} DIS{4.8859934853%} CRM{2.1172638436%} GS{0.1628664495%} CAT{0.1628664495%} INTC{0.1628664495%} AXP{0.3257328990%} TRV{0.1628664495%} DD{17.7524429967%} 
158,29004.077639066621486563235521316528,37309.381938928570889402180910110474,1.286349540337571095705015977728,2764.212700716150720836594700813293,-41931.382148267752199899405241012573,19,AAPL{18.5064935065%} MSFT{0.1623376623%} UNH{19.6428571429%} V{0.1623376623%} WMT{0.1623376623%} JPM{0.3246753247%} PG{12.9870129870%} HD{0.3246753247%} KO{1.6233766234%} CSCO{0.8116883117%} MCD{11.3636363636%} NKE{8.1168831169%} DIS{4.8701298701%} VZ{0.1623376623%} CRM{2.1103896104%} GS{0.1623376623%} INTC{0.1623376623%} AXP{0.3246753247%} DD{18.0194805195%} 
159,29034.116444623359711840748786926270,37336.598262667786912061274051666260,1.285956069435752135987627298164,2754.139580814506189199164509773254,-41615.403054014721419662237167358398,19,AAPL{18.5667752443%} UNH{19.7068403909%} V{0.1628664495%} WMT{0.4885993485%} PG{13.0293159609%} HD{0.3257328990%} MRK{0.3257328990%} KO{1.3029315961%} CSCO{0.8143322476%} MCD{11.2377850163%} NKE{8.3061889251%} DIS{4.8859934853%} CRM{2.1172638436%} GS{0.1628664495%} CAT{0.1628664495%} INTC{0.1628664495%} AXP{0.3257328990%} TRV{0.1628664495%} DD{17.7524429967%} 
160,29038.279639184638654114678502082825,37357.843538108034408651292324066162,1.286503332921171693925543877413,2750.020978028984245611354708671570,-41476.091165389509114902466535568237,19,AAPL{18.4466019417%} MSFT{0.1618122977%} UNH{19.5792880259%} V{0.1618122977%} WMT{0.1618122977%} JPM{0.3236245955%} PG{12.9449838188%} HD{0.9708737864%} KO{1.6181229773%} CSCO{0.8090614887%} MCD{11.3268608414%} NKE{8.0906148867%} DIS{4.8543689320%} VZ{0.1618122977%} CRM{2.1035598706%} GS{0.1618122977%} INTC{0.1618122977%} AXP{0.3236245955%} DD{17.6375404531%} 
161,29079.968829890141932992264628410339,37396.355288954619027208536863327026,1.285983334704141611837258096784,2759.642852692344604292884469032288,-41713.406488225926295854151248931885,19,AAPL{18.5365853659%} UNH{19.6747967480%} V{0.1626016260%} WMT{0.4878048780%} PG{13.0081300813%} HD{0.3252032520%} MRK{0.3252032520%} KO{1.3008130081%} CSCO{0.8130081301%} MCD{11.2195121951%} NKE{8.1300813008%} DIS{4.8780487805%} CRM{2.1138211382%} GS{0.1626016260%} CAT{0.1626016260%} INTC{0.1626016260%} AXP{0.3252032520%} TRV{0.1626016260%} DD{18.0487804878%} 
162,29120.546507342118275118991732597351,37448.748226038529537618160247802734,1.285990570836183843894673373143,2745.758973707035238476237282156944,-41263.009020229816087521612644195557,19,AAPL{18.4764991896%} UNH{19.6110210697%} V{0.1620745543%} WMT{0.4862236629%} PG{12.9659643436%} HD{0.9724473258%} MRK{0.3241491086%} KO{1.2965964344%} CSCO{0.8103727715%} MCD{11.1831442464%} NKE{8.1037277147%} DIS{4.8622366288%} CRM{2.1069692058%} GS{0.1620745543%} CAT{0.1620745543%} INTC{0.1620745543%} AXP{0.3241491086%} TRV{0.1620745543%} DD{17.6661264182%} 
163,29172.522040432650101138278841972351,37454.122713940290850587189197540283,1.283883603276723128772118798224,2770.991574144442438409896567463875,-41980.969078200396324973553419113159,20,AAPL{18.5064935065%} MSFT{0.1623376623%} UNH{19.6428571429%} V{0.1623376623%} WMT{0.1623376623%} JPM{0.3246753247%} PG{12.9870129870%} HD{0.3246753247%} KO{1.6233766234%} CSCO{0.8116883117%} MCD{11.3636363636%} NKE{8.1168831169%} DIS{4.8701298701%} VZ{0.1623376623%} CRM{2.1103896104%} GS{0.1623376623%} CAT{0.3246753247%} INTC{0.1623376623%} AXP{0.3246753247%} DD{17.6948051948%} 
164,29216.741233983528218232095241546631,37614.153993792613619007170200347900,1.287417843508214865266836568480,2790.835198417670198978157714009285,-42389.788360847262083552777767181396,19,AAPL{18.5064935065%} MSFT{0.1623376623%} UNH{19.6428571429%} V{0.1623376623%} WMT{0.1623376623%} JPM{0.3246753247%} PG{12.9870129870%} HD{0.3246753247%} KO{1.6233766234%} CSCO{0.8116883117%} MCD{11.3636363636%} NKE{8.1168831169%} DIS{4.8701298701%} VZ{0.1623376623%} CRM{2.1103896104%} GS{0.1623376623%} INTC{0.4870129870%} AXP{0.3246753247%} DD{17.6948051948%} 
165,29297.939517088874708861112594604492,37702.363294347378541715443134307861,1.286860575036561149531166847737,2786.367035630075406515970826148987,-42173.491727048109169118106365203857,19,AAPL{18.5365853659%} UNH{19.6747967480%} V{0.1626016260%} WMT{0.4878048780%} PG{13.0081300813%} HD{0.3252032520%} MRK{0.3252032520%} KO{1.3008130081%} CSCO{0.8130081301%} MCD{11.2195121951%} NKE{8.1300813008%} DIS{4.8780487805%} CRM{2.1138211382%} GS{0.1626016260%} CAT{0.1626016260%} INTC{0.4878048780%} AXP{0.3252032520%} TRV{0.1626016260%} DD{17.7235772358%} 
166,29406.700863617788854753598570823669,37729.152760430450143758207559585571,1.283012090863591803113763489819,2808.030070264274399960413575172424,-42767.709253812077804468572139739990,20,AAPL{18.2692307692%} MSFT{0.1602564103%} UNH{20.0320512821%} V{0.1602564103%} WMT{0.1602564103%} JPM{0.3205128205%} PG{12.8205128205%} HD{0.3205128205%} KO{1.6025641026%} CSCO{0.6410256410%} MCD{11.2179487179%} NKE{8.0128205128%} DIS{4.9679487179%} VZ{0.1602564103%} CRM{2.0833333333%} GS{0.1602564103%} INTC{0.8012820513%} AXP{0.3205128205%} MMM{0.3205128205%} DD{17.4679487179%} 
167,29480.630497927653777878731489181519,37774.832713324554788414388895034790,1.281344125797443389558338822098,2791.792292351802188932197168469429,-42256.546334093778568785637617111206,20,AAPL{18.4466019417%} MSFT{0.1618122977%} UNH{19.5792880259%} V{0.1618122977%} WMT{0.1618122977%} JPM{0.3236245955%} PG{12.9449838188%} HD{0.3236245955%} KO{1.6181229773%} CSCO{0.8090614887%} MCD{11.3268608414%} NKE{8.0906148867%} DIS{4.8543689320%} VZ{0.1618122977%} CRM{2.1035598706%} GS{0.1618122977%} CAT{0.6472491909%} INTC{0.1618122977%} AXP{0.3236245955%} DD{17.6375404531%} 
168,29494.462734606218873523175716400146,37814.365954688903002534061670303345,1.282083565818638914990401644900,2731.553197724461824691388756036758,-40490.159046745677187573164701461792,22,AAPL{16.6666666667%} MSFT{0.1488095238%} UNH{18.8988095238%} JNJ{0.2976190476%} V{0.2976190476%} WMT{0.5952380952%} JPM{0.2976190476%} PG{13.0952380952%} HD{2.0833333333%} MRK{0.1488095238%} KO{0.7440476190%} CSCO{0.5952380952%} MCD{12.2023809524%} NKE{10.5654761905%} DIS{4.4642857143%} VZ{0.7440476190%} CRM{0.1488095238%} CAT{0.2976190476%} BA{0.1488095238%} TRV{0.1488095238%} DD{17.1130952381%} WBA{0.2976190476%} 
169,29521.452162302655779058113694190979,37826.379952660892740823328495025635,1.281318403468078459539469804440,2749.962752779742913844529539346695,-41005.885627025068970397114753723145,23,AAPL{16.7414050822%} MSFT{0.1494768311%} UNH{18.9835575486%} JNJ{0.2989536622%} V{0.2989536622%} WMT{0.5979073244%} JPM{0.2989536622%} PG{13.1539611360%} HD{1.4947683109%} MRK{0.1494768311%} KO{0.7473841555%} CSCO{0.5979073244%} MCD{12.2571001495%} NKE{10.6128550075%} DIS{4.4843049327%} VZ{0.7473841555%} CRM{0.1494768311%} CAT{0.2989536622%} INTC{0.1494768311%} BA{0.1494768311%} TRV{0.1494768311%} DD{17.1898355755%} WBA{0.2989536622%} 
170,29544.186430111938534537330269813538,37877.634305173371103592216968536377,1.282067265408528555781231261790,2754.441746575063007185235619544983,-41083.029096645106619689613580703735,19,AAPL{18.0665610143%} UNH{19.1759112520%} V{0.1584786054%} WMT{0.4754358162%} JPM{0.6339144216%} PG{12.6782884311%} HD{2.8526148970%} MRK{0.3169572108%} KO{1.2678288431%} CSCO{0.7923930269%} MCD{10.9350237718%} NKE{7.9239302694%} DIS{4.7543581616%} CRM{2.0602218700%} GS{0.1584786054%} CAT{0.1584786054%} INTC{0.1584786054%} TRV{0.1584786054%} DD{17.2741679873%} 
