Non-Dominant Set,Risk,Profit,TrendRaio,a,b,# of Portfolio,Portfolio{%}
417,110456.990693378524156287312507629395,73085.884662888987804763019084930420,0.661668258424409572171498439275,2505.246356880282291967887431383133,-5411.834519359847035957500338554382,16,UNH{14.6666666667%} JNJ{21.1666666667%} WMT{0.8333333333%} HD{0.1666666667%} KO{20.6666666667%} MCD{1.0000000000%} NKE{0.3333333333%} AMGN{2.1666666667%} HON{0.5000000000%} IBM{12.1666666667%} CRM{2.1666666667%} GS{0.3333333333%} AXP{0.5000000000%} BA{5.6666666667%} MMM{16.1666666667%} DD{1.5000000000%} 
418,110621.727132430227356962859630584717,73089.379154429931077174842357635498,0.660714500207824073640949791297,2523.660731482759729260578751564026,-5985.323765363204074674285948276520,17,UNH{14.9914821124%} JNJ{21.6354344123%} WMT{2.2146507666%} KO{19.7614991482%} CSCO{0.3407155026%} NKE{1.0221465077%} AMGN{2.2146507666%} HON{0.1703577513%} IBM{11.0732538330%} CRM{2.2146507666%} GS{0.3407155026%} INTC{0.1703577513%} AXP{0.5110732538%} BA{6.4735945486%} MMM{16.5247018739%} DD{0.1703577513%} WBA{0.1703577513%} 
419,110712.204653571883682161569595336914,73133.994409309583716094493865966797,0.660577527456455371179799840320,2522.878186218937116791494190692902,-5916.188758883790796971879899501801,17,UNH{15.1360544218%} JNJ{21.5986394558%} WMT{2.2108843537%} KO{19.7278911565%} CSCO{0.3401360544%} NKE{1.0204081633%} AMGN{2.2108843537%} HON{0.1700680272%} IBM{11.0544217687%} CRM{2.2108843537%} GS{0.3401360544%} INTC{0.1700680272%} AXP{0.5102040816%} BA{6.4625850340%} MMM{16.4965986395%} DD{0.1700680272%} WBA{0.1700680272%} 
420,110718.178388827640446834266185760498,73197.726405544482986442744731903076,0.661117509976399064797192295373,2354.466162226976393867516890168190,-575.546677567439473932608962059021,18,MSFT{0.1633986928%} UNH{14.3790849673%} JNJ{20.5882352941%} WMT{0.8169934641%} PG{0.3267973856%} KO{20.2614379085%} MCD{0.6535947712%} NKE{0.9803921569%} VZ{0.1633986928%} AMGN{7.3529411765%} HON{0.1633986928%} IBM{14.5424836601%} CRM{1.9607843137%} GS{0.3267973856%} AXP{0.3267973856%} BA{0.9803921569%} MMM{15.8496732026%} DD{0.1633986928%} 
421,110786.807251039135735481977462768555,73215.268606744008138775825500488281,0.660866310921305877279507967614,2442.687442148967420507688075304031,-3322.271247256972856121137738227844,16,UNH{14.1025641026%} JNJ{20.3525641026%} WMT{0.8012820513%} HD{0.1602564103%} KO{18.5897435897%} MCD{0.9615384615%} NKE{0.3205128205%} AMGN{7.2115384615%} HON{0.4807692308%} IBM{11.6987179487%} CRM{2.0833333333%} GS{0.3205128205%} AXP{0.4807692308%} BA{5.4487179487%} MMM{16.8269230769%} DD{0.1602564103%} 
422,110948.136737542881746776401996612549,73258.938812600143137387931346893311,0.660298955591298475376049736951,2510.221499353941908339038491249084,-5394.668167156702111242339015007019,16,UNH{14.8148148148%} JNJ{21.3804713805%} WMT{0.8417508418%} HD{0.1683501684%} KO{19.5286195286%} MCD{1.0101010101%} NKE{0.3367003367%} AMGN{2.1885521886%} HON{0.5050505051%} IBM{12.2895622896%} CRM{2.5252525253%} GS{0.3367003367%} AXP{0.5050505051%} BA{5.7239057239%} MMM{16.3299663300%} DD{1.5151515152%} 
423,111001.811151754343882203102111816406,73273.957648405033978633582592010498,0.660114973693805007215473779070,2520.691831443663431855384260416031,-5707.719736829754765494726598262787,17,UNH{15.5668358714%} JNJ{21.4890016920%} WMT{2.1996615905%} KO{19.6277495770%} CSCO{0.3384094755%} NKE{1.0152284264%} AMGN{2.1996615905%} HON{0.1692047377%} IBM{10.9983079526%} CRM{2.1996615905%} GS{0.3384094755%} INTC{0.1692047377%} AXP{0.5076142132%} BA{6.4297800338%} MMM{16.4128595601%} DD{0.1692047377%} WBA{0.1692047377%} 
424,111038.406441791667020879685878753662,73316.804413310703239403665065765381,0.660283290824645319183616720693,2504.178153856984863523393869400024,-5147.444407541486725676804780960083,16,UNH{14.7651006711%} JNJ{21.3087248322%} WMT{0.8389261745%} HD{0.1677852349%} KO{19.4630872483%} MCD{1.0067114094%} NKE{0.3355704698%} AMGN{2.1812080537%} HON{0.5033557047%} IBM{12.9194630872%} CRM{2.1812080537%} GS{0.3355704698%} AXP{0.5033557047%} BA{5.7046979866%} MMM{16.2751677852%} DD{1.5100671141%} 
425,111076.196501387603348121047019958496,73369.514918028973625041544437408447,0.660533194590547712010675240890,2512.582373300836479756981134414673,-5358.066112063910622964613139629364,16,UNH{14.8148148148%} JNJ{21.3804713805%} WMT{0.8417508418%} HD{0.1683501684%} KO{19.8653198653%} MCD{1.0101010101%} NKE{0.3367003367%} AMGN{2.1885521886%} HON{0.5050505051%} IBM{12.2895622896%} CRM{2.1885521886%} GS{0.3367003367%} AXP{0.5050505051%} BA{5.7239057239%} MMM{16.3299663300%} DD{1.5151515152%} 
426,111144.096819968195632100105285644531,73372.452787339236238040030002593994,0.660156093635709040334802466532,2514.233631397891713277203962206841,-5406.867663128017738927155733108521,16,UNH{14.8397976391%} JNJ{21.4165261383%} WMT{0.8431703204%} HD{0.1686340641%} KO{19.5615514334%} MCD{1.0118043845%} NKE{0.3372681282%} AMGN{2.1922428331%} HON{0.5059021922%} IBM{12.3102866779%} CRM{2.1922428331%} GS{0.3372681282%} AXP{0.5059021922%} BA{5.9021922428%} MMM{16.3575042159%} DD{1.5177065767%} 
