Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},all%
73,7751.400632500876781705301254987717,9122.755302960196786443702876567841,1.176917016095047729962175253604,4,V{2%}MRK{13%}KO{1%}CAT{4%}Cash{80%},100
74,7800.234780057106945605482906103134,9128.667060592040797928348183631897,1.170306704604756609100491004938,5,JNJ{1%}V{2%}WMT{1%}MRK{14%}CAT{3%}Cash{79%},100
75,7804.282154934344362118281424045563,9152.435832562450741534121334552765,1.172745378865591270312052074587,4,JNJ{2%}V{2%}MRK{14%}CAT{3%}Cash{79%},100
76,7824.790921219132542319130152463913,9213.863748843661596765741705894470,1.177522037535554622067479613179,5,V{1%}MRK{14%}KO{1%}MCD{1%}CAT{4%}Cash{79%},100
77,7856.849782039620549767278134822845,9255.976676688263978576287627220154,1.178077338050548039660725407884,5,V{1%}PG{1%}MRK{14%}MCD{1%}CAT{4%}Cash{79%},100
78,7894.881371907485117844771593809128,9352.385619796468745335005223751068,1.184613824987320374049204474431,6,AAPL{1%}V{1%}WMT{1%}MRK{12%}MCD{1%}CAT{4%}Cash{80%},100
79,7935.325187092978012515231966972351,9419.371537927858298644423484802246,1.187017710786285373814052945818,4,V{2%}MRK{14%}KO{1%}CAT{4%}Cash{79%},100
80,7979.863219239403406390920281410217,9461.484465772442490560933947563171,1.185670005340550003936073153454,4,V{2%}PG{1%}MRK{14%}CAT{4%}Cash{79%},100
81,8013.358714491932914825156331062317,9544.002273357980811852030456066132,1.191011486369369931637152149051,3,V{2%}MRK{14%}CAT{4%}Cash{80%},100
82,8071.061773987791639228817075490952,9634.884294634610341745428740978241,1.193756727979317311394424905302,4,V{1%}MRK{15%}MCD{1%}CAT{4%}Cash{79%},100
83,8091.063990304716753598768264055252,9840.392083718787034740671515464783,1.216204950981754517869148912723,3,V{2%}MRK{15%}CAT{4%}Cash{79%},100
