Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},all%
1894,43182.767843380584963597357273101807,65632.295967985483002848923206329346,1.519872376083603704444158211118,5,V{25%}WMT{42%}HD{5%}DIS{21%}HON{7%},100
1895,43273.792811500759853515774011611938,65650.420984596799826249480247497559,1.517094220757766898088902962627,5,V{27%}WMT{43%}HD{3%}DIS{21%}HON{6%},100
1896,43283.432672387170896399766206741333,65733.091917849626042880117893218994,1.518666331651285616999302874319,5,V{25%}WMT{43%}HD{4%}DIS{21%}HON{7%},100
1897,43413.408490765446913428604602813721,65786.657284808228723704814910888672,1.515353425861547753683566952532,5,V{24%}WMT{42%}HD{5%}DIS{21%}HON{8%},100
1898,43419.311542209121398627758026123047,65804.782301419560099020600318908691,1.515564848084910209990994189866,5,V{26%}WMT{43%}HD{3%}DIS{21%}HON{7%},100
1899,43443.537837525698705576360225677490,65835.938097251550061628222465515137,1.515436849168939614784790137492,5,V{25%}WMT{44%}HD{3%}DIS{21%}HON{7%},100
1900,43494.100163245486328378319740295410,65887.453234672328107990324497222900,1.514859555373679222967098212393,5,V{24%}WMT{43%}HD{4%}DIS{21%}HON{8%},100
1901,43576.426630586574901826679706573486,65906.002183630305808037519454956055,1.512423282026765791741240718693,5,V{26%}WMT{44%}HD{2%}DIS{21%}HON{7%},100
1902,43583.197572679069708101451396942139,65952.973011174894054420292377471924,1.513266044814452371269908326212,6,V{25%}WMT{43%}HD{4%}DIS{21%}HON{6%}CRM{1%},100
1903,43634.041926470228645484894514083862,65990.299414074295782484114170074463,1.512358161209948148595572092745,5,V{24%}WMT{44%}HD{3%}DIS{21%}HON{8%},100
1904,43685.855329594720387831330299377441,65994.201854424623888917267322540283,1.510653765538550574731857523147,6,V{26%}WMT{42%}HD{4%}CSCO{1%}DIS{22%}HON{5%},100
1905,43704.059994901239406317472457885742,66013.135013591032475233078002929688,1.510457724552192404487982457795,5,V{27%}WMT{41%}HD{5%}DIS{22%}HON{5%},100
1906,43710.022502081919810734689235687256,66047.343289036492933519184589385986,1.511034300792012619041315701907,6,V{25%}WMT{41%}HD{5%}CSCO{1%}DIS{22%}HON{6%},100
1907,43724.701394399096898268908262252808,66055.819190576832625083625316619873,1.510720875935775531218041578541,6,V{25%}WMT{44%}HD{3%}DIS{21%}HON{6%}CRM{1%},100
1908,43769.235957550365128554403781890869,66060.382038659037789329886436462402,1.509287987177289513951450317109,7,AAPL{2%}V{25%}WMT{42%}HD{3%}DIS{22%}HON{5%}CRM{1%},100
1909,43781.280117799688014201819896697998,66087.073862881283275783061981201172,1.509482447408223793061665674031,8,AAPL{1%}V{25%}WMT{41%}HD{4%}CSCO{1%}DIS{22%}HON{5%}CRM{1%},100
1910,43789.057151523986249230802059173584,66097.432244035037001594901084899902,1.509450911795543248672402114607,5,V{25%}WMT{41%}HD{6%}DIS{22%}HON{6%},100
1911,43792.098350130829203408211469650269,66148.563171247355057857930660247803,1.510513669438033224068362869730,6,V{25%}WMT{42%}HD{4%}CSCO{1%}DIS{22%}HON{6%},100
1912,43826.892222859656612854450941085815,66167.496330413719988428056240081787,1.509746481542705298650730583176,5,V{26%}WMT{41%}HD{5%}DIS{22%}HON{6%},100
1913,43861.396351454510295297950506210327,66198.652126245855470187962055206299,1.509269144005503271444013080327,5,V{25%}WMT{42%}HD{5%}DIS{22%}HON{6%},100
1914,43891.380205582354392390698194503784,66238.382700090616708621382713317871,1.509143307634377872972208933788,7,AAPL{1%}V{25%}WMT{42%}HD{4%}DIS{22%}HON{5%}CRM{1%},100
1915,43897.421235509595135226845741271973,66268.716212624567560851573944091797,1.509626632897021591972475107468,5,V{26%}WMT{42%}HD{4%}DIS{22%}HON{6%},100
1916,43967.494419376591395121067762374878,66302.924488070086226798593997955322,1.507998701396325413881527310878,6,V{24%}WMT{42%}HD{4%}CSCO{1%}DIS{22%}HON{7%},100
1917,43976.336782395163027103990316390991,66310.073083660594420507550239562988,1.507858042196142944746384273458,7,AAPL{1%}V{26%}WMT{42%}HD{3%}DIS{22%}HON{5%}CRM{1%},100
1918,43994.702673413834418170154094696045,66334.235989127177163027226924896240,1.507777799557972864263888368441,6,V{27%}WMT{42%}HD{4%}DIS{22%}HON{4%}CRM{1%},100
1919,44020.494759513516328297555446624756,66368.444264572637621313333511352539,1.507671475006068240176659855933,7,V{25%}WMT{42%}HD{4%}CSCO{1%}DIS{22%}HON{5%}CRM{1%},100
1920,44026.060940040777495596557855606079,66371.138459679859806783497333526611,1.507542056739323399483510002028,5,V{26%}WMT{43%}HD{3%}DIS{22%}HON{6%},100
1921,44051.859515673488203901797533035278,66418.533219571152585558593273162842,1.507735063849908296873536528437,6,V{25%}WMT{42%}HD{5%}DIS{22%}HON{5%}CRM{1%},100
1922,44069.731467900506686419248580932617,66423.077529447313281707465648651123,1.507226736287887947085550877091,5,V{25%}WMT{42%}HD{4%}DIS{22%}HON{7%},100
1923,44109.503266198524215724319219589233,66488.597305949879228137433528900146,1.507353118548959924893893003173,6,V{26%}WMT{42%}HD{4%}DIS{22%}HON{5%}CRM{1%},100
1924,44163.908858026377856731414794921875,66519.329169435266521759331226348877,1.506192066994676892477400542703,6,V{25%}WMT{43%}HD{4%}DIS{22%}HON{5%}CRM{1%},100
