Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},all%
54,8069.024297408956044819205999374390,3882.975343873513793369056656956673,0.481219934499438284358774353677,4,PG{7%}KO{4%}NKE{2%}CAT{2%}Cash{85%},100
55,8354.618597998083714628592133522034,4035.043285902532716136192902922630,0.482971572977538621262993956407,4,PG{8%}KO{4%}NKE{2%}CAT{2%}Cash{84%},100
56,8579.226566096032911445945501327515,4092.670374176558198087150231003761,0.477044211695055286881483880279,4,PG{7%}KO{5%}NKE{2%}CAT{2%}Cash{84%},100
57,8715.755153678106580628082156181335,4096.153559947289068077225238084793,0.469971160011153465951849739213,4,PG{8%}KO{3%}NKE{2%}CAT{3%}Cash{84%},100
58,8750.264956511600757949054241180420,4186.859459815543232252821326255798,0.478483735135339871558102231575,4,PG{9%}KO{4%}NKE{2%}CAT{2%}Cash{83%},100
59,8845.512786696446710266172885894775,4244.738316205538467329461127519608,0.479874758938744372382956271395,4,PG{8%}KO{5%}NKE{2%}CAT{2%}Cash{83%},100
60,8980.481852202619847957976162433624,4247.969733860336418729275465011597,0.473022472933169790820784328389,4,PG{9%}KO{3%}NKE{2%}CAT{3%}Cash{83%},100
61,9083.152913145080674439668655395508,4305.706134387358360982034355401993,0.474032109286211422727319586556,4,PG{8%}KO{4%}NKE{2%}CAT{3%}Cash{83%},100
62,9217.382176757328124949708580970764,4396.554490118601279391441494226456,0.476985157586826635789378769914,4,PG{9%}KO{5%}NKE{2%}CAT{2%}Cash{82%},100
63,9312.966346454204540350474417209625,4397.392851119891020061913877725601,0.472179613619471860719301048448,5,PG{8%}KO{4%}MCD{1%}NKE{2%}CAT{2%}Cash{83%},100
64,9334.769432357703408342786133289337,4457.522308300386612245347350835800,0.477518201236871941972594868275,4,PG{9%}KO{4%}NKE{2%}CAT{3%}Cash{82%},100
65,9483.496368874873951426707208156586,4482.945805006618684274144470691681,0.472710235828189329065907031691,4,PG{8%}KO{4%}NKE{3%}CAT{1%}Cash{84%},100
66,9561.158422116097426624037325382233,4515.401164690375480859074741601944,0.472265071379396383921545066187,4,PG{8%}KO{5%}NKE{2%}CAT{3%}Cash{82%},100
67,9643.440563740919969859533011913300,4540.572893280658718140330165624619,0.470845738434173821662653836029,4,PG{7%}KO{5%}NKE{3%}CAT{1%}Cash{84%},100
68,9648.621234037684189388528466224670,4549.209025032936551724560558795929,0.471487989287482589517708220228,5,PG{9%}KO{4%}MCD{1%}NKE{2%}CAT{2%}Cash{82%},100
69,9688.553468286052520852535963058472,4609.590250329379159666132181882858,0.475776932585255774021959496167,4,PG{10%}KO{4%}NKE{2%}CAT{3%}Cash{81%},100
70,9777.837373849069990683346986770630,4634.761978919656030484475195407867,0.474006858747249792962463743606,4,PG{9%}KO{4%}NKE{3%}CAT{1%}Cash{83%},100
71,9797.936350382948148762807250022888,4667.217338603444659383967518806458,0.476346974679114798512102879613,4,PG{9%}KO{5%}NKE{2%}CAT{3%}Cash{81%},100
72,9825.273955350116011686623096466064,4692.640835309619433246552944183350,0.477609159463116550448091857106,4,PG{8%}KO{5%}NKE{3%}CAT{1%}Cash{83%},100
73,10077.658715487044901237823069095612,4701.276967061914547230117022991180,0.466504879733338484459892470113,5,PG{10%}KO{4%}MCD{1%}NKE{2%}CAT{2%}Cash{81%},100
74,10099.901696192111558048054575920105,4750.125467720701635698787868022919,0.470314029839677072430959015037,4,PG{7%}KO{6%}NKE{3%}CAT{1%}Cash{83%},100
75,10107.173762744820123771205544471741,4844.457009222675878845620900392532,0.479308768498609427677337180285,4,PG{9%}KO{5%}NKE{3%}CAT{1%}Cash{82%},100
76,10271.201496095476613845676183700562,4902.193409749676902720239013433456,0.477275556478296170137554099711,4,PG{8%}KO{6%}NKE{3%}CAT{1%}Cash{82%},100
