Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn,Number of Computations
13,6758.T 9983.T 3382.T 8411.T 5108.T AAPL V WMT PG HD MRK CSCO DIS ,1.46957591939959519856,34195.26826712677575415000,50252.54280277863290393725,225760
13,6758.T 4568.T 3382.T 8411.T AAPL V WMT PG CVX HD KO DIS HON ,1.45602001745278175626,34587.53501580443844432011,50360.14333736027765553445,16116
13,6758.T 4568.T 3382.T 8411.T AAPL V WMT PG CVX HD MRK DIS HON ,1.45882267251932606911,34661.77967958289082162082,50565.39006644517940003425,89538
13,6758.T 9983.T 3382.T 8411.T AAPL MSFT V WMT PG HD KO CSCO DIS ,1.45779702270662547825,35347.09548872084269532934,51528.89056478403654182330,291026
13,6758.T 9983.T 3382.T 8411.T 6702.T AAPL V WMT PG HD KO CSCO DIS ,1.45350874137185104296,35946.39635919252759777009,52248.40132890362292528152,291261
13,6758.T 9433.T 9983.T 3382.T 8411.T AAPL V WMT PG HD MRK CSCO DIS ,1.45368506110854545099,36285.74162919274385785684,52748.04053760194801725447,224122
12,6758.T 9983.T 3382.T 8411.T AAPL V WMT HD MRK KO DIS HON ,1.44991119129272938437,36456.89824755616427864879,52859.26476895197265548632,287166
11,6758.T 9983.T 4568.T 3382.T 8411.T AAPL WMT PG HD CSCO DIS ,1.42726821952793514470,37317.43852087661798577756,53261.99403503475332399830,2718
12,6758.T 9983.T 3382.T 8411.T AAPL V WMT PG HD KO CSCO DIS ,1.45416601758209518280,37483.13293222582433372736,54506.69814255511300871149,290738
12,6758.T 9983.T 3382.T 8411.T AAPL V WMT PG HD MRK CSCO DIS ,1.44426401691859829235,37894.08902091642084997147,54729.06922681970172561705,224056
12,6758.T 9983.T 3382.T 8411.T 6702.T V WMT PG HD KO CSCO DIS ,1.36905919801848274808,39982.31208660007541766390,54738.15212020539183868095,296838
10,6758.T 9983.T 4568.T 3382.T 8411.T WMT PG HD CSCO DIS ,1.40733609332956421945,39987.20152133232477353886,56275.43197221383888972923,3167
11,6758.T 9983.T 3382.T 8411.T AAPL V WMT HD MRK CSCO DIS ,1.39387464592650456296,40495.08410659177025081590,56445.07102083962672622874,224555
11,6758.T 9983.T 3382.T 8411.T V WMT PG HD MRK CSCO DIS ,1.40957701837747118034,40796.30353001971525372937,57505.53189066749473568052,225546
6,6758.T AAPL V WMT HD DIS ,1.43610330042235623260,41487.96399676481814822182,59581.00202355784131214023,96504
8,6758.T 9983.T 3382.T AAPL V WMT HD DIS ,1.41352402538930066456,43406.27401430503232404590,61355.81117185144830727950,83616
9,6758.T 9432.T 3382.T AAPL V WMT HD DIS AXP ,1.29333572895941428804,47513.71418727268610382453,61451.18417396557924803346,16987
8,6758.T 3382.T V WMT PG HD DIS CAT ,1.32265498723836283368,47791.27934914641082286835,63211.37397765028435969725,94276
8,6758.T 3382.T AAPL V WMT HD DIS TRV ,1.30319328382075094730,48696.84877513359970180318,63461.40626698886626400054,89916
8,6758.T 3382.T AAPL V WMT HD DIS AXP ,1.33832436931084397536,48814.38038453890476375818,65329.47484143765905173495,14725
7,6758.T 3382.T AAPL V WMT HD DIS ,1.31498168350396427151,50401.02879253237915690988,66276.42969193600583821535,20869
7,6758.T 9983.T 3382.T V WMT HD DIS ,1.30171810997995751613,51347.52176353276445297524,66839.99898218060843646526,93187
7,6758.T 3382.T V WMT HD DIS CAT ,1.24066527900155998410,54194.14806917196256108582,67236.79783449108072090894,81025
8,6758.T 3382.T AAPL WMT PG HD DIS GS ,1.26296720578197763096,54710.70740211287193233147,69097.82925400185922626406,209681
3,WMT CSCO DIS ,1.21705186857708014259,57125.59542187135230051354,69524.81265176682791206986,28226
7,6758.T 3382.T V WMT HD DIS AXP ,1.24435051466939938791,57318.15658563524630153552,71323.87764723644067998976,14373
4,6758.T WMT HD DIS ,1.18632859380662214477,60163.76427878342656185851,71373.99387496222334448248,69466
6,6758.T 3382.T V WMT HD DIS ,1.19456966777506745636,61449.67296215023816330358,73405.91541528236120939255,15604
7,6758.T 3382.T WMT PG HD DIS GS ,1.17743905452005548362,64233.89610491964413085952,75631.49789791606599465013,170363
7,6758.T 8316.T 3382.T WMT HD DIS AXP ,1.08597178303327179805,69881.47934626732603646815,75889.31472666868648957461,14596
6,3382.T WMT PG HD DIS GS ,1.08829068074186374737,70049.46685773938952479511,76234.18197221381706185639,199302
6,6758.T 3382.T V WMT DIS AXP ,1.08380186850054904824,70405.04017398317228071392,76305.11409241918590851128,15516
7,6758.T 3382.T 8411.T WMT HD CSCO DIS ,1.01627051490765163422,75156.85352564879576675594,76379.69423135004763025790,11296
5,3382.T V WMT DIS AXP ,1.02308008330138089370,75439.73924259374325629324,77180.89470854726096149534,86325
5,6758.T 3382.T WMT CSCO DIS ,1.01552235128435230926,76228.51954196473525371403,77411.76540018121886532754,81910
6,6758.T 3382.T WMT PG DIS GS ,1.05343273715181218186,77208.51616397306497674435,81333.97851404407992959023,139121
5,6758.T 3382.T WMT DIS AXP ,1.02985617702587650690,79507.09139800572302192450,81880.86919359712919685990,8632
6,6758.T 3382.T WMT HD DIS GS ,0.99988778593244020954,82388.55494949522835668176,82379.30979462397226598114,3890
5,3382.T WMT PG DIS GS ,0.99425040401213993224,83691.87212661426747217774,83210.67767441859177779406,20982
5,3382.T WMT HD DIS GS ,0.99973573297249362923,84487.28634023581980727613,84464.95913621260842774063,8914
7,6758.T 3382.T 8411.T WMT PG DIS GS ,0.86170977814448390664,98508.36072107889049220830,84885.61766233768139500171,170826
6,6758.T 3382.T 8411.T WMT DIS AXP ,0.86251736579027482588,99616.35230334220977965742,85920.83377831469988450408,7195
5,6758.T 8316.T 3382.T WMT DIS ,0.85892631444638867233,100346.49082771743997000158,86190.24153427968849427998,66459
5,6758.T 3382.T PG DIS GS ,0.81856781788813404166,106634.64093295848579145968,87287.68533977652259636670,78568
5,6758.T 3382.T WMT DIS GS ,0.84593140964429913708,107069.14729716844158247113,90573.15470250679936725646,106466
4,3382.T WMT DIS GS ,0.83786133697648756957,113643.86380612532957457006,95217.79966777403024025261,7461
3,3382.T DIS AXP ,0.68605513789272509761,138882.27830292083672247827,95280.90059196617221459746,10132
5,3382.T 8411.T WMT DIS GS ,0.69077965228987969759,141028.22143893831525929272,97419.42576864996226504445,4490
4,6758.T 3382.T DIS GS ,0.63922564465011588730,156937.63059221531148068607,100318.55808517058903817087,6133
5,6758.T 3382.T 8411.T DIS GS ,0.57744820654184780828,175767.16367661347612738609,101496.43343400786397978663,4054
3,3382.T DIS GS ,0.61394502447683152457,178803.73340130553697235882,109775.66247961338376626372,6100
2,DIS GS ,0.47936533770080386185,232414.05405209938180632889,111411.24150709749665111303,6966
2,3382.T DIS ,0.46171062170901916444,245871.27776978965266607702,113521.38051948051725048572,7328
1,DIS ,0.42064255070757666788,286508.24297662492608651519,120517.55812443364993669093,7972

Duration,14832
