AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
32.847,47.420,120.460,102.420,69.370,76.110,66.650,80.410,105.490,112.010,60.100,41.350,29.430,99.280,52.200,110.390,49.900,163.840,106.360,173.340,72.910,204.950,89.330,33.370,80.760,147.350,162.060,103.090,154.140,87.140
33.135,46.900,119.590,101.350,69.620,75.860,66.470,79.950,104.890,112.160,59.380,41.230,29.260,98.990,52.215,110.260,49.610,163.580,105.920,172.220,75.010,207.800,88.630,33.550,81.250,144.810,160.980,102.730,153.870,86.450
33.135,46.900,119.590,101.350,69.620,75.860,66.470,79.950,104.890,112.160,59.380,41.230,29.260,98.990,52.215,110.260,49.610,163.580,105.920,172.220,75.010,207.800,88.630,33.550,81.250,144.810,160.980,102.730,153.870,86.450
32.405,46.590,118.240,100.820,68.540,74.900,65.730,79.140,103.290,110.930,58.970,41.210,28.950,98.460,51.710,109.440,49.420,159.010,104.840,170.130,73.570,206.380,87.840,33.450,80.190,142.800,159.590,101.600,151.860,85.550
33.011,47.610,119.450,101.130,69.490,75.190,66.470,79.390,103.110,112.160,59.460,40.990,29.310,98.660,51.420,110.370,49.570,160.440,105.380,172.000,73.950,209.060,87.920,33.105,80.110,143.000,161.020,102.340,153.600,86.180
32.945,47.450,119.620,101.150,69.560,74.840,66.200,79.330,103.240,112.190,59.700,41.120,29.350,96.480,51.150,110.530,49.540,157.350,105.690,171.710,72.680,208.480,86.010,33.710,80.090,142.330,160.870,102.150,154.710,86.050
32.570,46.860,120.210,100.140,68.680,74.270,65.780,78.390,103.000,111.420,60.890,41.140,29.310,95.930,50.835,110.370,49.440,156.260,104.200,169.650,72.750,206.190,85.320,34.010,79.720,140.520,159.080,101.120,156.210,85.840
32.634,47.230,119.860,100.040,69.110,74.730,66.080,78.850,102.630,111.670,60.750,40.960,29.180,96.220,50.880,110.960,49.220,157.030,104.060,170.180,73.100,207.810,85.530,34.460,79.470,141.250,158.980,101.010,156.780,85.980
32.490,46.920,117.750,99.980,69.040,74.530,66.020,78.540,102.580,111.590,60.240,40.940,29.080,96.290,51.055,110.750,49.140,156.440,104.560,169.650,72.900,206.430,86.170,33.905,79.990,143.250,159.080,100.330,157.950,86.330
32.530,46.850,118.350,100.090,68.950,74.890,66.700,78.560,102.170,113.160,60.390,40.990,29.090,96.520,51.255,111.170,49.080,157.130,104.980,169.920,73.470,208.290,86.230,33.270,80.600,143.810,160.160,101.010,159.030,85.820
32.340,46.360,116.650,99.230,68.210,74.150,66.330,78.150,101.390,111.460,59.470,40.870,28.610,96.310,50.975,110.300,48.100,158.090,103.720,168.380,72.210,208.870,85.470,32.730,79.360,141.190,158.350,100.210,159.150,85.250
32.163,46.140,116.530,98.590,68.370,73.060,67.420,77.430,101.590,110.370,58.990,40.590,28.580,95.540,51.015,110.300,47.230,157.250,103.740,167.400,73.550,210.450,86.050,32.310,79.390,140.730,157.080,99.310,156.210,83.890
31.950,45.730,116.910,97.960,67.680,72.610,66.890,77.710,100.420,109.930,58.870,40.100,28.275,95.320,50.720,109.290,47.440,156.470,103.260,165.340,71.840,209.790,86.150,31.840,78.810,140.640,156.590,97.760,154.200,83.260
31.855,45.650,116.990,98.210,67.950,72.470,67.180,78.900,100.420,109.530,58.840,40.160,28.240,94.730,50.675,108.520,47.340,154.800,103.560,165.680,71.760,209.020,86.730,31.300,79.170,140.100,156.980,97.800,154.560,84.170
32.220,46.610,118.550,98.880,69.630,72.930,68.260,79.540,101.830,110.980,59.610,40.200,28.660,95.300,51.670,110.000,47.470,155.550,104.770,168.920,73.030,213.130,88.480,31.250,80.190,141.620,159.040,99.180,155.970,85.490
32.148,46.440,119.320,99.240,69.640,72.940,68.520,79.410,101.120,111.290,58.910,40.330,28.860,95.590,51.940,110.620,47.760,157.960,104.900,168.780,72.400,213.940,88.170,31.820,80.300,142.960,159.860,100.130,156.480,85.790
31.793,45.970,117.650,98.350,69.330,72.430,68.250,78.870,99.870,110.600,57.870,40.100,28.540,95.060,51.890,109.950,47.250,156.120,104.050,166.990,71.770,213.060,87.850,31.850,79.530,142.800,158.040,99.470,155.520,85.060
31.730,45.475,118.980,97.490,68.570,71.930,67.990,78.120,99.290,110.010,57.120,39.960,28.480,94.300,51.675,110.180,47.000,156.100,103.440,166.260,72.560,211.760,87.130,31.320,79.250,142.290,155.870,98.790,155.580,84.420
31.900,45.830,121.550,98.360,69.010,72.350,68.370,79.100,100.040,110.230,57.710,39.590,28.710,94.630,52.280,111.060,47.420,156.230,104.100,166.840,73.400,213.560,86.590,31.390,79.360,142.340,156.490,99.490,157.770,85.880
31.825,45.970,119.740,98.730,68.750,72.730,68.140,80.080,99.760,110.470,57.910,40.080,28.930,95.220,52.375,111.490,47.270,155.650,104.200,167.170,74.420,212.930,87.250,31.635,80.320,143.430,156.950,99.780,160.050,85.620
31.970,46.720,120.890,100.360,69.500,72.980,68.780,80.820,100.250,111.850,58.590,40.270,29.210,96.170,53.000,113.220,47.770,160.120,105.530,168.250,75.710,214.600,87.440,31.950,80.770,145.380,159.620,101.470,160.770,87.800
31.650,46.100,120.330,99.860,68.690,72.740,68.080,80.540,99.470,112.430,58.040,40.650,29.030,96.080,53.265,112.620,47.460,160.720,105.340,166.990,75.000,213.190,87.520,32.380,80.190,145.130,158.950,99.450,159.840,88.520
31.902,46.230,120.250,100.090,69.090,72.790,68.960,80.450,100.290,113.070,58.830,40.400,28.940,96.870,53.395,113.530,47.530,162.220,105.370,167.730,74.780,216.510,88.270,32.070,81.250,145.700,159.680,100.040,160.320,87.750
31.758,45.910,122.740,99.780,69.420,72.570,69.750,79.790,100.090,113.180,59.030,40.480,28.785,97.180,53.600,114.410,47.770,161.690,104.760,168.620,74.200,218.400,88.450,32.260,81.360,144.430,159.840,100.000,160.710,87.090
32.028,45.635,119.170,99.330,68.860,72.380,69.020,79.510,99.270,112.350,58.240,40.380,28.510,96.640,53.110,113.770,47.290,159.890,104.100,166.970,73.500,214.430,88.170,32.085,80.740,143.000,157.540,98.780,159.300,86.150
31.875,45.650,122.330,99.120,68.620,71.860,68.650,79.390,98.340,112.240,57.900,40.190,28.400,95.790,52.610,114.450,47.440,158.760,103.360,166.080,73.610,212.820,86.720,31.910,79.880,142.450,155.920,97.810,159.660,86.360
31.688,45.260,123.250,99.640,68.750,72.120,68.950,79.340,98.600,112.600,58.490,40.020,28.280,97.290,54.855,114.990,47.620,158.020,103.540,165.460,72.340,213.170,86.820,31.990,79.880,142.480,157.090,97.920,158.010,86.770
31.133,44.370,121.190,97.680,66.720,71.420,67.200,78.320,96.690,110.540,57.290,40.000,27.540,95.440,53.835,113.050,46.770,151.600,101.850,162.970,70.000,207.650,85.300,31.020,77.800,138.730,153.950,96.140,152.370,84.280
31.356,44.150,122.000,97.460,67.150,70.930,67.760,78.240,96.470,111.130,56.930,39.400,27.460,95.070,54.010,114.140,46.610,153.520,101.970,162.660,69.630,208.790,84.820,30.390,77.720,138.720,154.300,96.660,153.510,84.440
